,free_node_coor_list,14:34:07,3377
0,-31,-4,-2
1,-31,-4,-1
2,-31,-3,-1
3,-30,-4,-2
4,-29,-3,-2
5,-30,-3,-1
6,-29,-3,-1
7,-28,-3,-2
8,-27,-3,-2
9,-28,-3,-1
10,-27,-3,-1
11,-26,-3,-2
12,-25,-3,-2
13,-26,-3,-1
14,-25,-3,-1
15,-24,-3,-2
16,-23,-3,-2
17,-24,-3,-1
18,-23,-3,-1
19,-22,-3,-2
20,-22,-3,-1
21,-24,-2,-1
22,-23,-2,-1
23,-22,-2,-1
24,-21,-2,-1
25,-20,-2,-1
26,-19,-2,-1
27,-18,-2,-1
28,-17,-2,-1
29,-16,-2,-1
30,-15,-1,-1
31,-14,-2,-1
32,-13,-2,-1
33,-14,-1,-1
34,-13,-1,-1
35,-12,-2,-1
36,-12,-1,-1
37,-11,-1,-1
38,-10,-2,-1
39,-9,-2,-1
40,-10,-1,-1
41,-9,-1,-1
42,-1,-6,-1
43,-1,-5,-1
44,-8,-2,-1
45,-7,-2,-1
46,-8,-1,-1
47,-7,-1,-1
48,-6,-1,-1
49,-5,-1,-1
50,-1,-4,-1
51,-1,-3,-1
52,-4,-1,-1
53,-3,-1,-1
54,-1,-2,-1
55,-2,-1,-1
56,-1,-1,-1
57,0,-6,-1
58,0,-5,-1
59,0,-4,-1
60,0,-3,-1
61,0,-2,-1
62,0,-1,-1
63,1,-1,-1
64,2,-1,-1
65,3,-1,-1
66,4,-1,-1
67,5,-1,-1
68,-18,0,-1
69,-17,0,-1
70,-16,0,-1
71,-15,0,-1
72,-14,0,-1
73,-13,0,-1
74,-12,0,-1
75,-11,0,-1
76,-10,0,-1
77,-9,0,-1
78,-8,0,-1
79,-7,0,-1
80,-6,0,-1
81,-5,0,-1
82,-4,0,-1
83,-3,0,-1
84,-2,0,-1
85,-1,0,-1
86,-1,1,-1
87,-1,2,-1
88,-1,3,-1
89,-1,4,-1
90,-1,5,-1
91,0,0,-1
92,1,0,-1
93,0,1,-1
94,2,0,-1
95,0,2,-1
96,0,3,-1
97,4,1,-1
98,5,1,-1
99,6,0,-1
100,6,1,-1
101,0,4,-1
102,0,5,-1
103,0,6,-1
104,8,1,-1
105,9,1,-1
106,10,1,-1
107,11,1,-1
108,11,2,-1
109,12,1,-1
110,12,2,-1
111,13,2,-1
112,14,2,-1
113,15,2,-1
114,16,2,-1
115,17,2,-1
116,17,3,-1
117,18,2,-1
118,19,2,-1
119,18,3,-1
120,19,3,-1
121,20,2,-1
122,21,2,-1
123,20,3,-1
124,21,3,-1
125,22,2,-1
126,22,3,-1
127,23,3,-1
128,23,4,-1
129,24,3,-1
130,25,3,-1
131,26,3,-1
132,27,3,-1
133,28,3,-1
134,29,3,-1
135,30,3,-1
136,31,3,-1
137,24,4,-1
138,25,4,-1
139,26,4,-1
140,27,4,-1
141,28,4,-1
142,29,5,-1
143,30,5,-1
144,31,5,-1
145,-32,-5,0
146,-31,-5,0
147,-31,-4,0
148,-32,-3,0
149,-31,-3,0
150,-31,-4,1
151,-32,-3,1
152,-31,-3,1
153,-30,-4,0
154,-29,-4,0
155,-30,-3,0
156,-29,-3,0
157,-30,-4,1
158,-29,-4,1
159,-30,-3,1
160,-29,-3,1
161,-31,-3,2
162,-31,-4,3
163,-31,-3,3
164,-30,-3,2
165,-30,-4,3
166,-29,-4,3
167,-30,-3,3
168,-29,-3,3
169,-28,-4,0
170,-27,-4,0
171,-28,-3,0
172,-27,-3,0
173,-28,-4,1
174,-27,-4,1
175,-28,-3,1
176,-27,-3,1
177,-26,-4,0
178,-25,-4,0
179,-26,-3,0
180,-25,-3,0
181,-26,-4,1
182,-26,-3,1
183,-25,-3,1
184,-25,-2,0
185,-25,-2,1
186,-28,-4,3
187,-27,-4,3
188,-28,-3,3
189,-27,-3,3
190,-26,-4,3
191,-25,-4,3
192,-26,-3,3
193,-25,-3,3
194,-31,-5,5
195,-30,-5,5
196,-31,-5,7
197,-30,-5,7
198,-29,-5,7
199,-28,-5,7
200,-27,-5,7
201,-26,-5,7
202,-25,-5,7
203,-31,-4,4
204,-32,-3,4
205,-31,-3,4
206,-31,-4,5
207,-31,-3,5
208,-30,-4,4
209,-29,-4,4
210,-30,-3,4
211,-29,-3,4
212,-30,-4,5
213,-29,-4,5
214,-30,-3,5
215,-29,-3,5
216,-31,-2,5
217,-31,-1,5
218,-30,-2,5
219,-29,-2,5
220,-30,-1,5
221,-29,-1,5
222,-31,-4,6
223,-31,-3,6
224,-31,-3,7
225,-30,-4,6
226,-29,-4,6
227,-30,-3,6
228,-29,-3,6
229,-30,-3,7
230,-29,-3,7
231,-31,-2,6
232,-31,-1,6
233,-31,-1,7
234,-30,-2,6
235,-29,-2,6
236,-30,-1,6
237,-29,-1,6
238,-30,-1,7
239,-29,-1,7
240,-28,-4,4
241,-27,-4,4
242,-28,-3,4
243,-27,-3,4
244,-28,-4,5
245,-27,-4,5
246,-28,-3,5
247,-27,-3,5
248,-26,-4,4
249,-26,-3,4
250,-25,-3,4
251,-26,-4,5
252,-25,-4,5
253,-26,-3,5
254,-25,-3,5
255,-28,-2,5
256,-27,-2,5
257,-28,-1,5
258,-27,-1,5
259,-26,-2,5
260,-25,-2,5
