,occu_node_coor_list,14:34:48,272
0,-16,-32,-2
1,-32,-9,-4
2,-32,-4,-2
3,-32,-4,-1
4,-17,-2,-2
5,-18,-1,-1
6,-17,-1,-1
7,-16,-2,-2
8,-1,-7,-1
9,20,-32,-1
10,0,-8,-1
11,0,-7,-1
12,-1,6,-2
13,-2,6,-1
14,-1,6,-1
15,-2,7,-1
16,-1,7,-1
17,-32,17,-1
18,9,0,-1
19,-21,-32,2
20,-21,-32,3
21,-20,-32,2
22,-18,-32,2
23,-22,-32,4
24,-22,-32,5
25,-21,-32,5
26,-22,-32,6
27,-21,-32,7
28,-20,-32,4
29,-18,-32,4
30,-19,-32,6
31,-19,-32,7
32,-32,-21,2
33,-32,-20,0
34,-32,-22,5
35,-32,-21,5
36,-32,-19,5
37,-32,-20,7
38,-21,-32,8
39,-20,-32,8
40,-19,-32,8
41,-19,-32,9
42,-20,-32,11
43,-19,-32,11
44,-17,-32,11
45,-21,-32,13
46,-21,-32,15
47,-20,-32,13
48,-17,-32,13
49,-19,-32,14
50,-20,-32,15
51,-19,-32,15
52,-32,-21,9
53,-32,-19,9
54,-32,-18,8
55,-16,-32,1
56,-15,-32,1
57,-16,-32,2
58,-15,-32,3
59,-14,-32,3
60,-15,-32,5
61,-14,-32,5
62,-15,-32,7
63,-14,-32,7
64,-9,-32,5
65,-8,-28,3
66,-8,-32,5
67,-14,-32,9
68,-15,-32,10
69,-9,-32,10
70,-10,-32,12
71,-32,-16,5
72,-32,-15,7
73,-32,-9,5
74,-32,-11,6
75,-32,-5,1
76,-32,-4,0
77,-32,-4,2
78,-32,-1,2
79,-32,-1,3
80,-32,-7,7
81,-32,-6,6
82,-32,-5,6
83,-32,-6,7
84,-32,-4,4
85,-32,-4,5
86,-32,-3,5
87,-32,-2,4
88,-32,-1,4
89,-32,-4,6
90,-32,-1,7
91,-32,-16,10
92,-32,-6,8
93,-32,-7,11
94,-32,-3,8
95,-32,-4,9
96,-32,-3,9
97,-32,-2,9
98,-32,-2,10
99,-32,-1,11
100,-32,-2,12
101,-32,-1,13
102,-32,-2,14
103,-3,-14,6
104,-3,-13,7
105,-2,-12,4
106,-2,-12,5
107,-1,-9,6
108,-1,-10,7
109,-1,-8,7
110,-3,-16,8
111,-3,-15,8
112,-3,-12,8
113,-2,-12,8
114,-20,-32,17
115,6,-32,4
116,7,-32,6
117,9,-32,2
118,14,-32,3
119,9,-32,5
120,11,-32,5
121,8,-32,6
122,9,-32,6
123,8,-32,7
124,12,-32,6
125,12,-32,7
126,13,-32,7
127,14,-32,6
128,4,-32,8
129,9,-32,8
130,11,-32,8
131,10,-32,9
132,8,-32,10
133,10,-32,10
134,11,-32,11
135,14,-32,9
136,14,-32,11
137,9,-32,12
138,17,-32,0
139,16,-32,1
140,19,-32,1
141,16,-32,3
142,21,-32,1
143,22,-32,1
144,21,-32,2
145,20,-32,3
146,23,-32,3
147,19,-32,4
148,18,-32,6
149,19,-32,6
150,19,-32,7
151,22,-32,4
152,22,-32,5
153,20,-32,6
154,22,-32,6
155,23,-32,6
156,24,-32,2
157,24,-32,7
158,17,-32,9
159,17,-32,11
160,18,-32,10
161,19,-32,11
162,20,-32,9
163,21,-32,9
164,20,-32,10
165,22,-32,11
166,16,-32,12
167,17,-32,14
168,19,-32,14
169,21,-32,15
170,24,-32,8
171,25,-32,9
172,25,-32,11
173,27,-32,14
174,0,-8,0
175,0,-8,1
176,0,-8,2
177,1,-8,2
178,0,-8,3
179,0,-8,4
180,0,-7,4
181,0,-8,5
182,0,-8,6
183,0,-8,7
184,1,-8,7
185,1,-8,8
186,2,-8,8
187,18,-32,18
188,23,-32,16
189,-32,2,2
190,-32,0,6
191,-32,1,7
192,-32,6,6
193,-32,8,3
194,-32,15,3
195,-32,11,4
196,-32,9,6
197,-32,11,6
198,-32,12,4
199,-32,13,4
200,-32,13,5
201,-32,14,6
202,-32,0,9
203,-32,1,9
204,-32,3,9
205,-32,2,10
206,-32,8,9
207,-32,10,8
208,-32,13,10
209,-32,13,11
210,-32,8,12
211,-32,9,13
212,-32,14,13
213,-1,6,0
214,-1,6,1
215,-1,6,3
216,-1,6,5
217,-1,7,5
218,-1,5,6
219,-4,7,7
220,-1,6,6
221,-1,6,7
222,-5,9,7
223,-5,11,6
224,-3,10,5
225,-4,10,7
226,-4,4,8
227,-4,5,8
228,-1,6,8
229,-5,10,8
230,-1,13,8
231,-2,12,9
232,-1,15,9
233,-4,15,12
234,-32,16,4
235,-32,19,4
236,-32,19,5
237,-32,16,7
238,-32,17,7
239,-32,18,6
240,-32,19,6
241,-32,18,7
242,-32,19,7
243,-32,20,4
244,-32,21,5
245,-32,22,5
246,-32,21,6
247,-32,16,8
248,-32,18,8
249,-32,18,9
250,-32,19,9
251,-32,20,8
252,-32,20,10
253,-32,21,12
254,-32,15,16
255,-32,15,17
256,0,6,2
257,0,6,7
258,1,6,7
259,0,9,7
260,3,8,6
261,2,9,7
262,3,9,7
263,0,10,7
264,3,11,6
265,4,10,6
266,2,13,6
267,3,13,6
268,0,6,8
269,1,6,8
270,4,7,8
271,2,12,8
