,free_node_coor_list,14:34:58,18731
0,-15,-32,-1
1,-16,-31,-1
2,-13,-32,-2
3,-13,-31,-2
4,-13,-30,-2
5,-13,-29,-1
6,-13,-28,-1
7,-32,-8,-4
8,-31,-8,-3
9,-30,-8,-3
10,-29,-8,-3
11,-28,-8,-3
12,-27,-7,-3
13,-26,-7,-3
14,-25,-7,-2
15,-31,-4,-2
16,-31,-4,-1
17,-31,-3,-1
18,-30,-4,-2
19,-29,-3,-2
20,-30,-3,-1
21,-29,-3,-1
22,-28,-3,-2
23,-27,-3,-2
24,-28,-3,-1
25,-27,-3,-1
26,-26,-3,-2
27,-25,-3,-2
28,-26,-3,-1
29,-25,-3,-1
30,-24,-7,-2
31,-23,-7,-2
32,-22,-6,-2
33,-21,-6,-2
34,-20,-6,-2
35,-19,-6,-1
36,-18,-6,-1
37,-17,-6,-1
38,-24,-3,-2
39,-23,-3,-2
40,-24,-3,-1
41,-23,-3,-1
42,-22,-3,-2
43,-22,-3,-1
44,-24,-2,-1
45,-23,-2,-1
46,-22,-2,-1
47,-21,-2,-1
48,-20,-2,-1
49,-19,-2,-1
50,-18,-2,-1
51,-17,-2,-1
52,-16,-5,-1
53,-15,-5,-1
54,-14,-5,-1
55,-16,-2,-1
56,-15,-1,-1
57,-14,-2,-1
58,-13,-2,-1
59,-14,-1,-1
60,-13,-1,-1
61,-12,-2,-1
62,-12,-1,-1
63,-11,-1,-1
64,-10,-2,-1
65,-9,-2,-1
66,-10,-1,-1
67,-9,-1,-1
68,-1,-6,-1
69,-1,-5,-1
70,-8,-2,-1
71,-7,-2,-1
72,-8,-1,-1
73,-7,-1,-1
74,-6,-1,-1
75,-5,-1,-1
76,-1,-4,-1
77,-1,-3,-1
78,-4,-1,-1
79,-3,-1,-1
80,-1,-2,-1
81,-2,-1,-1
82,-1,-1,-1
83,27,-31,-14
84,27,-30,-14
85,26,-29,-13
86,26,-28,-12
87,26,-27,-12
88,25,-25,-11
89,26,-26,-11
90,25,-24,-10
91,25,-23,-9
92,25,-22,-9
93,20,-31,-1
94,20,-20,-1
95,21,-20,-1
96,22,-20,-1
97,23,-20,-1
98,24,-21,-8
99,24,-20,-8
100,24,-19,-7
101,24,-18,-7
102,24,-17,-6
103,31,-22,-1
104,24,-20,-1
105,25,-20,-1
106,26,-20,-2
107,27,-20,-2
108,28,-20,-2
109,29,-20,-2
110,30,-20,-2
111,31,-20,-2
112,30,-20,-1
113,31,-20,-1
114,12,-15,-1
115,13,-15,-1
116,14,-15,-1
117,15,-15,-1
118,0,-6,-1
119,0,-5,-1
120,0,-4,-1
121,0,-3,-1
122,0,-2,-1
123,0,-1,-1
124,1,-1,-1
125,2,-1,-1
126,3,-1,-1
127,4,-1,-1
128,5,-1,-1
129,23,-16,-5
130,23,-15,-5
131,17,-15,-2
132,16,-15,-1
133,18,-15,-2
134,19,-14,-2
135,21,-14,-3
136,23,-14,-4
137,23,-13,-4
138,22,-14,-3
139,23,-14,-3
140,20,-14,-2
141,22,-12,-3
142,22,-11,-3
143,22,-10,-2
144,22,-9,-1
145,31,-13,-5
146,24,-14,-3
147,25,-14,-3
148,26,-14,-4
149,27,-14,-4
150,28,-14,-4
151,29,-13,-4
152,30,-13,-4
153,21,-8,-1
154,24,-6,-1
155,25,-6,-1
156,26,-6,-1
157,27,-6,-1
158,28,-6,-1
159,29,-6,-1
160,30,-6,-2
161,31,-6,-2
162,-18,0,-1
163,-17,0,-1
164,-18,12,-1
165,-18,13,-1
166,-19,14,-1
167,-19,15,-1
168,-18,14,-1
169,-18,15,-1
170,-16,0,-1
171,-15,0,-1
172,-14,0,-1
173,-13,0,-1
174,-12,0,-1
175,-11,0,-1
176,-10,0,-1
177,-9,0,-1
178,-8,0,-1
179,-7,0,-1
180,-6,0,-1
181,-5,0,-1
182,-4,0,-1
183,-3,0,-1
184,-2,0,-1
185,-1,0,-1
186,-1,1,-1
187,-1,2,-1
188,-1,3,-1
189,-1,4,-1
190,-1,5,-1
191,-32,16,-1
192,-31,16,-1
193,-30,16,-1
194,-29,16,-1
195,-28,16,-1
196,-27,16,-1
197,-26,16,-1
198,-19,16,-1
199,-19,17,-1
200,-18,16,-2
201,-18,17,-2
202,-18,16,-1
203,-18,17,-1
204,-19,18,-2
205,-19,19,-2
206,-19,19,-1
207,-18,18,-2
208,-18,19,-2
209,-18,18,-1
210,-18,19,-1
211,-17,20,-3
212,-17,21,-3
213,-19,22,-3
214,-19,23,-3
215,-17,22,-3
216,-18,23,-3
217,-17,23,-3
218,-19,20,-2
219,-19,21,-2
220,-19,20,-1
221,-19,21,-1
222,-18,20,-2
223,-18,21,-2
224,-18,20,-1
225,-17,20,-1
226,-18,21,-1
227,-17,21,-1
228,-19,22,-2
229,-19,23,-2
230,-19,23,-1
231,-18,22,-2
232,-17,22,-2
233,-18,23,-2
234,-17,23,-2
235,-18,22,-1
236,-17,22,-1
237,-17,23,-1
238,-19,29,-5
239,-17,28,-5
240,-17,29,-5
241,-19,30,-5
242,-19,31,-5
243,-17,30,-5
244,-17,31,-5
245,-21,26,-1
246,-21,27,-1
247,-19,25,-4
248,-19,24,-3
249,-17,24,-4
250,-17,25,-4
251,-18,24,-3
252,-17,25,-3
253,-19,26,-4
254,-19,27,-4
255,-19,26,-3
256,-19,27,-3
257,-17,26,-4
258,-17,27,-4
259,-17,26,-3
260,-18,27,-3
261,-17,27,-3
262,-19,24,-2
263,-19,25,-2
