,occu_node_coor_list,14:34:07,92
0,-32,-4,-2
1,-32,-4,-1
2,-17,-2,-2
3,-18,-1,-1
4,-17,-1,-1
5,-16,-2,-2
6,-1,-7,-1
7,0,-8,-1
8,0,-7,-1
9,-1,6,-2
10,-2,6,-1
11,-1,6,-1
12,-2,7,-1
13,-1,7,-1
14,9,0,-1
15,-32,-5,1
16,-32,-4,0
17,-32,-4,2
18,-32,-5,6
19,-32,-4,4
20,-32,-4,5
21,-32,-1,5
22,-32,-4,6
23,-32,-3,6
24,-32,-4,7
25,-32,-2,6
26,-32,-2,7
27,-32,-1,7
28,-32,-4,8
29,-32,-3,8
30,-32,-4,9
31,-32,-2,9
32,-32,-2,12
33,-1,-8,7
34,-1,-8,8
35,8,-32,6
36,9,-32,6
37,8,-32,7
38,12,-32,6
39,13,-32,7
40,9,-32,8
41,10,-32,8
42,14,-32,11
43,9,-32,12
44,16,-32,3
45,19,-32,5
46,19,-32,7
47,20,-32,6
48,19,-32,11
49,20,-32,8
50,0,-8,0
51,0,-8,1
52,0,-8,2
53,1,-8,2
54,0,-8,3
55,0,-8,4
56,0,-7,4
57,0,-8,5
58,0,-8,6
59,0,-8,7
60,1,-8,7
61,4,-13,8
62,0,-8,8
63,1,-8,8
64,2,-8,8
65,-32,0,4
66,-32,0,6
67,-32,1,7
68,-32,0,8
69,-32,0,9
70,-32,1,9
71,-32,3,9
72,-32,2,10
73,-1,6,0
74,-1,6,1
75,-1,6,3
76,-1,6,5
77,-1,7,5
78,-1,6,6
79,-1,6,7
80,-1,6,8
81,0,6,2
82,2,5,7
83,0,6,7
84,1,6,7
85,3,6,7
86,4,6,7
87,0,6,8
88,1,6,8
89,2,6,8
90,4,7,8
91,4,17,7
