,free_node_coor_list,14:35:18,21401
309,-17,28,-1
310,-18,29,-1
311,-17,29,-1
312,-19,30,-2
313,-19,31,-2
314,-19,30,-1
315,-19,31,-1
316,-18,30,-2
317,-17,30,-2
318,-18,31,-2
319,-17,31,-2
320,-17,30,-1
321,-17,31,-1
322,-11,22,-1
323,-11,23,-1
324,-16,25,-2
325,-16,24,-1
326,-16,26,-2
327,-16,27,-2
328,-11,24,-1
329,-11,25,-1
330,-10,25,-1
331,-11,26,-1
332,-11,27,-1
333,-10,26,-2
334,-10,27,-2
335,-16,29,-3
336,-16,30,-3
337,-16,31,-3
338,-16,28,-2
339,-10,31,-3
340,-11,28,-1
341,-11,29,-1
342,-10,28,-2
343,-10,29,-2
344,-11,30,-2
345,-11,31,-2
346,-10,30,-2
347,0,0,-1
348,1,0,-1
349,0,1,-1
350,2,0,-1
351,0,2,-1
352,0,3,-1
353,4,1,-1
354,5,1,-1
355,6,0,-1
356,6,1,-1
357,0,4,-1
358,0,5,-1
359,0,6,-1
360,8,1,-1
361,9,1,-1
362,10,1,-1
363,11,1,-1
364,11,2,-1
365,12,1,-1
366,12,2,-1
367,13,2,-1
368,14,2,-1
369,15,2,-1
370,16,2,-1
371,17,2,-1
372,17,3,-1
373,18,2,-1
374,19,2,-1
375,18,3,-1
376,19,3,-1
377,20,2,-1
378,21,2,-1
379,20,3,-1
380,21,3,-1
381,22,2,-1
382,22,3,-1
383,23,3,-1
384,23,4,-1
385,24,3,-1
386,25,3,-1
387,26,3,-1
388,27,3,-1
389,28,3,-1
390,29,3,-1
391,30,3,-1
392,31,3,-1
393,24,4,-1
394,25,4,-1
395,26,4,-1
396,27,4,-1
397,28,4,-1
398,29,5,-1
399,30,5,-1
400,31,5,-1
401,15,25,-1
402,15,26,-1
403,15,27,-1
404,9,29,-1
405,8,30,-1
406,8,31,-1
407,15,28,-2
408,15,29,-2
409,12,31,-1
410,15,30,-2
411,15,31,-2
412,16,24,-1
413,19,30,-1
414,19,31,-1
415,-28,-27,0
416,-27,-27,0
417,-26,-27,0
418,-25,-26,0
419,-21,-31,3
420,-21,-30,3
421,-21,-29,3
422,-18,-31,1
423,-17,-31,1
424,-18,-30,1
425,-17,-30,1
426,-17,-29,1
427,-20,-31,2
428,-20,-32,3
429,-20,-31,3
430,-19,-31,3
431,-18,-31,2
432,-17,-31,2
433,-18,-31,3
434,-17,-31,3
435,-20,-30,2
436,-20,-29,2
437,-20,-30,3
438,-19,-30,3
439,-20,-29,3
440,-19,-29,3
441,-18,-30,2
442,-18,-29,2
443,-18,-30,3
444,-17,-30,3
445,-18,-29,3
446,-17,-29,3
447,-24,-26,0
448,-23,-26,0
449,-22,-26,1
450,-21,-26,1
451,-21,-28,3
452,-21,-27,3
453,-21,-26,3
454,-20,-26,1
455,-19,-25,1
456,-18,-25,1
457,-17,-25,1
458,-20,-28,2
459,-20,-27,2
460,-20,-28,3
461,-19,-28,3
462,-20,-27,3
463,-19,-27,3
464,-18,-28,2
465,-17,-28,2
466,-18,-27,2
467,-18,-28,3
468,-17,-28,3
469,-18,-27,3
470,-17,-27,3
471,-19,-25,2
472,-20,-26,3
473,-20,-25,3
474,-18,-26,2
475,-17,-26,2
476,-17,-25,2
477,-18,-26,3
478,-18,-25,3
479,-17,-25,3
480,-21,-31,4
481,-22,-31,5
482,-21,-30,4
483,-21,-29,4
484,-22,-30,5
