,occu_node_coor_list,14:34:38,234
0,-32,-9,-4
1,-32,-4,-2
2,-32,-4,-1
3,-17,-2,-2
4,-18,-1,-1
5,-17,-1,-1
6,-16,-2,-2
7,-1,-7,-1
8,20,-32,-1
9,0,-8,-1
10,0,-7,-1
11,-1,6,-2
12,-2,6,-1
13,-1,6,-1
14,-2,7,-1
15,-1,7,-1
16,-32,17,-1
17,9,0,-1
18,-21,-32,3
19,-22,-32,4
20,-22,-32,5
21,-21,-32,5
22,-22,-32,6
23,-21,-32,7
24,-20,-32,5
25,-19,-32,5
26,-18,-32,4
27,-20,-32,6
28,-19,-32,7
29,-17,-32,6
30,-21,-32,8
31,-20,-32,9
32,-19,-32,9
33,-18,-32,8
34,-19,-32,10
35,-17,-32,13
36,-20,-32,14
37,-18,-32,15
38,-16,-32,1
39,-15,-32,3
40,-14,-32,3
41,-14,-32,5
42,-16,-32,6
43,-15,-32,7
44,-14,-32,7
45,-9,-32,5
46,-8,-28,3
47,-8,-32,5
48,-14,-32,9
49,-15,-32,10
50,-9,-32,10
51,-10,-32,12
52,-32,-5,1
53,-32,-4,0
54,-32,-4,2
55,-32,-1,2
56,-32,-1,3
57,-32,-7,7
58,-32,-5,6
59,-32,-6,7
60,-32,-4,4
61,-32,-4,5
62,-32,-2,4
63,-32,-1,4
64,-32,-2,5
65,-32,-4,6
66,-32,-3,6
67,-32,-4,7
68,-32,-1,6
69,-32,-1,7
70,-32,-4,8
71,-32,-3,8
72,-32,-4,9
73,-32,-3,9
74,-32,-2,9
75,-32,-2,10
76,-32,-1,11
77,-32,-2,12
78,-32,-1,13
79,-32,-2,14
80,-1,-8,7
81,-1,-8,8
82,6,-32,4
83,7,-32,6
84,9,-32,2
85,14,-32,3
86,9,-32,5
87,11,-32,5
88,8,-32,6
89,9,-32,6
90,8,-32,7
91,12,-32,6
92,12,-32,7
93,13,-32,7
94,14,-32,6
95,4,-32,8
96,9,-32,8
97,11,-32,8
98,10,-32,9
99,8,-32,10
100,10,-32,10
101,11,-32,11
102,14,-32,9
103,14,-32,11
104,9,-32,12
105,17,-32,0
106,16,-32,1
107,19,-32,1
108,16,-32,3
109,21,-32,1
110,22,-32,1
111,21,-32,2
112,20,-32,3
113,23,-32,3
114,19,-32,4
115,18,-32,6
116,19,-32,6
117,19,-32,7
118,22,-32,4
119,22,-32,5
120,20,-32,6
121,22,-32,6
122,23,-32,6
123,24,-32,2
124,24,-32,7
125,17,-32,9
126,17,-32,11
127,18,-32,10
128,19,-32,11
129,20,-32,9
130,21,-32,9
131,20,-32,10
132,22,-32,11
133,16,-32,12
134,17,-32,14
135,19,-32,14
136,21,-32,15
137,24,-32,8
138,25,-32,9
139,25,-32,11
140,27,-32,14
141,0,-8,0
142,0,-8,1
143,0,-8,2
144,1,-8,2
145,0,-8,3
146,0,-8,4
147,0,-7,4
148,0,-8,5
149,0,-8,6
150,0,-8,7
151,1,-8,7
152,0,-8,8
153,1,-8,8
154,2,-8,8
155,18,-32,18
156,23,-32,16
157,-32,2,2
158,-32,0,6
159,-32,1,7
160,-32,8,3
161,-32,15,3
162,-32,11,4
163,-32,9,6
164,-32,11,6
165,-32,12,4
166,-32,13,4
167,-32,13,5
168,-32,14,6
169,-32,0,8
170,-32,0,9
171,-32,1,9
172,-32,3,9
173,-32,2,10
174,-32,10,8
175,-32,13,10
176,-32,13,11
177,-32,14,13
178,-1,6,0
179,-1,6,1
180,-1,6,3
181,-1,6,5
182,-1,7,5
183,-1,5,6
184,-1,6,6
185,-1,6,7
186,-5,9,7
187,-5,11,6
188,-3,10,5
189,-4,10,7
190,-1,6,8
191,-5,10,8
192,-1,13,8
193,-2,12,9
194,-1,15,9
195,-4,15,12
196,-32,16,4
197,-32,19,4
198,-32,19,5
199,-32,16,7
200,-32,17,7
201,-32,18,6
202,-32,19,6
203,-32,18,7
204,-32,19,7
205,-32,20,4
206,-32,21,5
207,-32,22,5
208,-32,21,6
209,-32,16,8
210,-32,18,8
211,-32,18,9
212,-32,19,9
213,-32,20,8
214,-32,20,10
215,-32,21,12
216,-32,15,16
217,-32,15,17
218,0,6,2
219,0,6,7
220,1,6,7
221,0,9,7
222,3,8,6
223,2,9,7
224,3,9,7
225,0,10,7
226,3,11,6
227,4,10,6
228,2,13,6
229,3,13,6
230,0,6,8
231,1,6,8
232,4,7,8
233,2,12,8
