,occu_node_coor_list,14:36:11,496
0,-32,-28,-1
1,-13,-32,-3
2,-16,-32,-2
3,-32,-9,-4
4,-32,-5,-2
5,-32,-4,-2
6,-32,-4,-1
7,-32,-2,-1
8,-17,-2,-2
9,-18,-1,-1
10,-17,-1,-1
11,-16,-2,-2
12,-1,-7,-1
13,0,-8,-1
14,0,-7,-1
15,-1,6,-2
16,-2,6,-1
17,-1,6,-1
18,-2,7,-1
19,-1,7,-1
20,-32,17,-1
21,9,0,-1
22,-32,-27,1
23,-21,-32,2
24,-21,-32,3
25,-20,-32,2
26,-18,-32,2
27,-18,-32,3
28,-22,-32,4
29,-22,-32,5
30,-22,-32,6
31,-22,-32,7
32,-20,-32,4
33,-18,-32,4
34,-18,-32,5
35,-17,-32,5
36,-19,-32,6
37,-19,-32,7
38,-18,-32,6
39,-32,-23,3
40,-32,-21,2
41,-32,-21,3
42,-32,-20,0
43,-32,-19,1
44,-32,-18,1
45,-32,-24,5
46,-32,-22,5
47,-32,-21,5
48,-32,-20,4
49,-32,-20,5
50,-32,-19,5
51,-32,-18,4
52,-32,-17,4
53,-32,-20,6
54,-32,-20,7
55,-32,-18,6
56,-32,-17,6
57,-32,-17,7
58,-32,-26,8
59,-21,-32,8
60,-21,-32,10
61,-21,-32,11
62,-20,-32,8
63,-20,-32,9
64,-20,-32,10
65,-19,-32,11
66,-18,-32,10
67,-18,-32,11
68,-17,-32,11
69,-21,-32,13
70,-21,-32,15
71,-20,-32,12
72,-20,-32,13
73,-18,-32,12
74,-17,-32,13
75,-20,-32,14
76,-19,-32,14
77,-20,-32,15
78,-18,-32,14
79,-17,-32,14
80,-32,-21,8
81,-32,-21,11
82,-32,-20,8
83,-32,-20,9
84,-32,-19,9
85,-32,-18,8
86,-32,-20,11
87,-32,-17,10
88,-32,-17,11
89,-32,-21,13
90,-32,-22,14
91,-32,-20,12
92,-32,-18,13
93,-32,-17,13
94,-32,-19,14
95,-32,-20,15
96,-32,-19,15
97,-32,-18,15
98,-16,-32,1
99,-15,-32,1
100,-13,-32,1
101,-16,-32,2
102,-14,-32,3
103,-15,-32,5
104,-14,-32,5
105,-13,-32,5
106,-16,-32,6
107,-16,-32,7
108,-15,-32,7
109,-13,-32,7
110,-12,-32,5
111,-9,-32,5
112,-12,-32,6
113,-12,-32,7
114,-11,-32,7
115,-10,-32,6
116,-9,-32,6
117,-8,-28,3
118,-8,-32,5
119,-7,-32,7
120,-1,-32,5
121,-1,-32,6
122,-16,-32,9
123,-14,-32,8
124,-14,-32,9
125,-16,-32,10
126,-16,-32,11
127,-15,-32,11
128,-11,-32,9
129,-9,-32,8
130,-12,-32,10
131,-11,-32,10
132,-12,-32,11
133,-16,-32,12
134,-13,-32,12
135,-14,-32,13
136,-10,-32,12
137,-9,-32,13
138,-10,-32,14
139,-5,-32,8
140,-6,-32,9
141,-8,-32,10
142,-8,-32,11
143,-7,-32,11
144,-3,-32,9
145,-32,-16,5
146,-32,-16,7
147,-32,-9,5
148,-32,-11,6
149,-32,-5,1
150,-32,-4,0
151,-32,-4,1
152,-32,-4,2
153,-32,-1,2
154,-32,-1,3
155,-32,-7,7
156,-32,-6,6
157,-32,-5,6
158,-32,-6,7
159,-32,-4,4
160,-32,-4,5
161,-32,-3,5
162,-32,-2,4
163,-32,-1,4
164,-32,-4,6
165,-32,-2,6
166,-32,-1,7
167,-32,-16,9
168,-32,-13,10
169,-32,-14,11
170,-32,-12,8
171,-32,-12,9
172,-32,-11,9
173,-32,-10,8
174,-32,-9,9
175,-32,-16,12
176,-32,-8,8
177,-32,-6,8
178,-32,-7,11
179,-32,-6,10
180,-32,-3,8
181,-32,-3,9
182,-32,-2,9
183,-32,-1,9
184,-32,-1,11
185,-32,-5,12
186,-32,-5,14
187,-32,-4,13
188,-32,-2,12
189,-32,-1,13
190,-32,-4,15
191,-32,-2,14
192,-3,-14,6
193,-2,-12,4
194,-2,-12,5
195,-2,-11,7
196,-1,-9,6
197,-1,-10,7
198,-1,-8,7
199,-3,-15,8
200,-1,-14,9
201,-3,-15,10
202,-4,-16,11
203,-1,-15,10
204,-1,-15,11
205,-3,-13,11
206,-7,-12,10
207,-6,-11,11
208,-6,-9,11
209,-3,-12,8
210,-2,-12,8
211,-2,-11,9
212,-3,-11,10
213,-3,-10,10
214,-1,-9,10
215,-2,-7,9
216,-1,-7,9
217,-2,-8,10
218,-1,-6,10
219,-21,-32,17
220,-21,-32,18
221,-20,-32,19
222,-32,-21,17
223,-32,-19,17
224,-32,-19,19
225,3,-32,7
226,4,-32,5
227,6,-32,4
228,5,-32,6
229,7,-32,6
230,7,-32,7
231,9,-32,2
232,14,-32,3
233,9,-32,5
234,10,-32,5
235,11,-32,5
236,8,-32,6
237,9,-32,6
238,10,-32,7
239,12,-32,4
240,0,-32,9
241,2,-32,9
242,3,-32,10
243,4,-32,8
244,7,-32,8
245,4,-32,10
246,4,-32,11
247,6,-32,13
248,7,-32,13
249,9,-32,9
250,10,-32,8
251,11,-32,8
252,8,-32,10
253,9,-32,11
254,10,-32,10
255,11,-32,11
256,15,-32,8
257,12,-32,10
258,14,-32,11
259,15,-32,11
260,9,-32,12
261,10,-32,13
262,13,-32,13
263,14,-32,13
264,15,-32,13
265,13,-32,15
266,14,-32,15
267,16,-32,0
268,17,-32,0
269,16,-32,1
270,18,-32,1
271,19,-32,1
272,16,-32,3
273,18,-32,2
274,22,-32,1
275,21,-32,2
276,23,-32,3
277,17,-32,4
278,17,-32,5
279,19,-32,4
280,18,-32,5
281,19,-32,5
282,16,-32,6
283,17,-32,7
284,19,-32,6
285,19,-32,7
286,20,-32,4
287,21,-32,4
288,22,-32,5
289,20,-32,6
290,22,-32,6
291,23,-32,6
292,24,-32,2
293,24,-32,7
294,16,-32,8
295,18,-32,8
296,19,-32,9
297,17,-32,10
298,16,-32,11
299,18,-32,11
300,20,-32,9
301,21,-32,9
302,20,-32,10
303,22,-32,11
304,16,-32,12
305,16,-32,13
306,17,-32,13
307,19,-32,13
308,17,-32,15
309,19,-32,14
310,19,-32,15
311,21,-32,12
312,20,-32,13
313,21,-32,15
314,24,-32,8
315,25,-32,9
316,25,-32,11
317,27,-32,14
318,1,-15,5
319,1,-13,6
320,0,-14,7
321,1,-14,7
322,0,-8,0
323,0,-8,1
324,0,-8,2
325,1,-8,2
326,0,-8,3
327,0,-8,4
328,0,-7,4
329,0,-8,5
330,1,-5,5
331,0,-8,6
332,0,-8,7
333,1,-8,7
334,2,-6,6
335,0,-15,9
336,1,-15,9
337,1,-14,8
338,1,-13,8
339,1,-14,9
340,2,-13,9
341,1,-12,8
342,1,-11,8
343,1,-12,9
344,1,-10,8
345,1,-10,9
346,1,-12,10
347,1,-12,11
348,1,-11,11
349,1,-10,11
350,1,-8,8
351,1,-7,9
352,0,-8,10
353,12,-32,18
354,17,-32,17
355,18,-32,19
356,20,-32,17
357,23,-32,16
358,20,-32,22
359,21,-32,23
360,-32,2,2
361,-32,1,4
362,-32,0,6
363,-32,1,7
364,-32,3,6
365,-32,5,6
366,-32,5,7
367,-32,8,3
368,-32,15,3
369,-32,11,4
370,-32,9,6
371,-32,11,6
372,-32,12,4
373,-32,13,4
374,-32,13,5
375,-32,14,6
376,-32,0,9
377,-32,1,9
378,-32,3,9
379,-32,0,10
380,-32,3,11
381,-32,4,8
382,-32,6,8
383,-32,7,8
384,-32,4,10
385,-32,7,10
386,-32,0,14
387,-32,8,9
388,-32,10,8
389,-32,10,9
390,-32,9,11
391,-32,10,11
392,-32,12,8
393,-32,13,9
394,-32,15,8
395,-32,12,11
396,-32,13,11
397,-32,8,12
398,-32,9,12
399,-32,9,13
400,-32,14,13
401,-32,15,14
402,-24,15,12
403,-1,6,0
404,-1,6,1
405,-1,6,3
406,-1,6,5
407,-1,7,5
408,-3,4,6
409,-4,7,7
410,-1,6,6
411,-1,6,7
412,-5,11,6
413,-3,10,5
414,-4,10,7
415,-5,3,9
416,-3,3,9
417,-5,4,11
418,-4,5,8
419,-3,6,9
420,-1,6,8
421,-4,6,11
422,-1,9,9
423,-3,8,10
424,-1,8,10
425,-3,11,10
426,-6,14,11
427,-1,13,8
428,-2,12,9
429,-2,13,9
430,-4,15,12
431,-32,17,1
432,-32,17,2
433,-32,16,4
434,-32,18,4
435,-32,17,6
436,-32,16,7
437,-32,17,7
438,-32,19,6
439,-32,18,7
440,-32,20,4
441,-32,21,5
442,-32,22,5
443,-32,21,6
444,-32,16,8
445,-32,17,8
446,-32,19,9
447,-32,17,10
448,-32,17,11
449,-32,18,10
450,-32,19,11
451,-32,20,8
452,-32,21,9
453,-32,21,10
454,-32,16,12
455,-32,17,12
456,-32,16,13
457,-32,17,13
458,-32,18,12
459,-32,19,12
460,-32,18,13
461,-32,18,14
462,-32,20,12
463,-32,21,12
464,-32,15,16
465,-32,15,17
466,-32,19,16
467,0,6,2
468,2,5,7
469,0,6,7
470,1,6,7
471,3,6,7
