,free_node_coor_list,21:46:37,28132
309,-18,26,-3
310,-17,26,-3
311,-18,27,-3
312,-17,27,-3
313,-19,24,-2
314,-19,25,-2
315,-19,24,-1
316,-19,25,-1
317,-18,24,-2
318,-17,24,-2
319,-18,25,-2
320,-17,25,-2
321,-18,24,-1
322,-17,24,-1
323,-18,25,-1
324,-19,26,-2
325,-19,27,-2
326,-17,26,-2
327,-17,27,-2
328,-18,26,-1
329,-18,27,-1
330,-21,28,-1
331,-21,29,-1
332,-21,30,-1
333,-21,31,-1
334,-19,28,-3
335,-19,29,-3
336,-17,28,-4
337,-17,29,-4
338,-18,28,-3
339,-17,28,-3
340,-18,29,-3
341,-17,29,-3
342,-19,30,-4
343,-19,31,-4
344,-19,30,-3
345,-19,31,-3
346,-18,30,-4
347,-17,30,-4
348,-18,31,-4
349,-17,31,-4
350,-17,30,-3
351,-17,31,-3
352,-19,28,-2
353,-19,29,-2
354,-19,28,-1
355,-19,29,-1
356,-18,28,-2
357,-17,28,-2
358,-18,29,-2
359,-17,29,-2
360,-18,28,-1
361,-17,28,-1
362,-18,29,-1
363,-17,29,-1
364,-19,30,-1
365,-19,31,-1
366,-18,30,-2
367,-18,31,-2
368,-17,30,-1
369,-17,31,-1
370,-11,16,-1
371,-11,17,-1
372,-11,18,-1
373,-11,19,-1
374,-11,20,-2
375,-11,21,-2
376,-11,22,-2
377,-11,23,-2
378,-11,23,-1
379,-10,27,-3
380,-11,24,-2
381,-11,25,-2
382,-11,24,-1
383,-11,25,-1
384,-11,26,-2
385,-11,26,-1
386,-11,27,-1
387,-16,29,-1
388,-16,30,-1
389,-16,31,-1
390,-10,28,-3
391,-10,29,-3
392,-10,30,-3
393,-10,31,-3
394,-11,28,-1
395,-11,29,-1
396,-11,30,-2
397,-11,31,-2
398,0,0,-1
399,1,0,-1
400,0,1,-1
401,2,0,-1
402,0,2,-1
403,0,3,-1
404,4,1,-1
405,5,1,-1
406,6,0,-1
407,6,1,-1
408,0,4,-1
409,0,5,-1
410,0,6,-1
411,8,1,-1
412,9,1,-1
413,10,1,-1
414,11,1,-1
415,11,2,-1
416,12,1,-1
417,12,2,-1
418,13,2,-1
419,14,2,-1
420,15,2,-1
421,16,2,-1
422,17,2,-1
423,17,3,-1
424,18,2,-1
425,19,2,-1
426,18,3,-1
427,19,3,-1
428,20,2,-1
429,21,2,-1
430,20,3,-1
431,21,3,-1
432,22,2,-1
433,22,3,-1
434,23,3,-1
435,23,4,-1
436,24,3,-1
437,25,3,-1
438,26,3,-1
439,27,3,-1
440,28,3,-1
441,29,3,-1
442,30,3,-1
443,31,3,-1
444,24,4,-1
445,25,4,-1
446,26,4,-1
447,27,4,-1
448,28,4,-1
449,29,5,-1
450,30,5,-1
451,31,5,-1
452,15,25,-1
453,15,26,-1
454,15,27,-1
455,9,29,-1
456,8,30,-1
457,8,31,-1
458,15,28,-2
459,15,29,-2
460,12,31,-1
461,15,30,-2
462,15,31,-2
463,16,24,-1
464,21,27,-1
465,19,30,-1
466,19,31,-1
467,21,28,-1
468,22,29,-1
469,22,30,-2
470,22,31,-2
471,-31,-27,1
472,-30,-26,2
473,-29,-26,2
474,-27,-27,0
475,-26,-27,0
476,-25,-27,0
477,-28,-25,3
478,-27,-25,3
479,-21,-31,3
480,-21,-30,3
481,-21,-29,3
482,-17,-31,0
483,-18,-31,1
484,-17,-31,1
485,-17,-29,0
486,-18,-30,1
487,-17,-30,1
488,-17,-29,1
489,-20,-31,2
490,-20,-32,3
491,-20,-31,3
492,-19,-31,3
493,-18,-31,2
494,-17,-31,2
495,-18,-31,3
496,-17,-31,3
497,-20,-30,2
498,-20,-29,2
499,-20,-30,3
500,-19,-30,3
501,-20,-29,3
502,-19,-29,3
503,-17,-30,2
504,-18,-29,2
505,-17,-29,2
506,-18,-30,3
507,-17,-30,3
508,-18,-29,3
509,-17,-29,3
510,-24,-27,0
511,-23,-26,0
512,-22,-26,1
513,-21,-26,1
514,-21,-28,3
515,-21,-27,3
516,-21,-26,3
517,-17,-28,1
518,-17,-27,1
519,-20,-26,1
520,-19,-26,1
521,-18,-26,1
522,-17,-25,1
523,-20,-28,2
524,-20,-27,2
525,-20,-28,3
526,-19,-28,3
527,-20,-27,3
528,-19,-27,3
529,-18,-28,2
530,-17,-28,2
531,-18,-27,2
532,-17,-27,2
533,-18,-28,3
534,-17,-28,3
535,-18,-27,3
536,-17,-27,3
537,-19,-25,2
538,-20,-26,3
539,-20,-25,3
540,-18,-26,2
541,-17,-26,2
542,-18,-25,2
543,-18,-26,3
544,-17,-26,3
545,-18,-25,3
546,-17,-25,3
547,-21,-31,4
548,-22,-31,5
549,-21,-30,4
550,-21,-29,4
551,-22,-30,5
552,-22,-29,5
553,-21,-31,6
554,-21,-31,7
555,-21,-30,6
556,-21,-29,6
557,-21,-30,7
558,-21,-29,7
559,-20,-31,4
560,-19,-31,4
561,-20,-31,5
562,-19,-31,5
563,-17,-31,4
564,-18,-31,5
565,-17,-31,5
566,-20,-30,4
567,-19,-30,4
568,-20,-29,4
569,-19,-29,4
570,-20,-30,5
571,-19,-30,5
572,-20,-29,5
573,-19,-29,5
574,-18,-30,4
575,-17,-30,4
576,-18,-29,4
577,-17,-29,4
578,-18,-30,5
579,-17,-30,5
580,-18,-29,5
581,-17,-29,5
582,-20,-31,6
583,-19,-31,6
584,-20,-31,7
585,-19,-31,7
586,-18,-31,6
587,-17,-31,6
588,-18,-31,7
589,-17,-31,7
590,-20,-30,6
591,-19,-30,6
592,-20,-29,6
593,-19,-29,6
594,-20,-30,7
595,-19,-30,7
596,-20,-29,7
597,-19,-29,7
598,-18,-30,6
599,-17,-30,6
600,-18,-29,6
601,-17,-29,6
602,-18,-30,7
603,-17,-30,7
604,-18,-29,7
605,-17,-29,7
606,-21,-28,4
607,-21,-27,4
608,-22,-28,5
609,-22,-27,5
610,-21,-27,5
611,-21,-26,4
612,-21,-25,4
613,-22,-26,5
614,-21,-26,5
615,-22,-25,5
616,-21,-25,5
617,-21,-28,6
618,-21,-27,6
619,-21,-28,7
620,-21,-27,7
621,-21,-26,6
622,-21,-25,6
623,-21,-26,7
624,-21,-25,7
625,-20,-28,4
626,-19,-28,4
627,-20,-27,4
628,-19,-27,4
629,-20,-28,5
630,-19,-28,5
631,-20,-27,5
632,-19,-27,5
633,-18,-28,4
634,-17,-28,4
635,-18,-27,4
636,-17,-27,4
637,-18,-28,5
638,-17,-28,5
639,-18,-27,5
640,-17,-27,5
641,-20,-26,4
642,-19,-26,4
643,-20,-25,4
644,-19,-25,4
645,-20,-26,5
646,-19,-26,5
647,-20,-25,5
648,-19,-25,5
649,-18,-26,4
650,-17,-26,4
651,-18,-25,4
652,-17,-25,4
653,-18,-26,5
654,-17,-26,5
655,-18,-25,5
656,-17,-25,5
657,-20,-28,6
658,-19,-28,6
659,-20,-27,6
660,-19,-27,6
661,-20,-28,7
662,-19,-28,7
663,-20,-27,7
664,-19,-27,7
665,-18,-28,6
666,-17,-28,6
667,-18,-27,6
668,-17,-27,6
669,-18,-28,7
670,-17,-28,7
671,-18,-27,7
672,-17,-27,7
673,-20,-26,6
674,-19,-26,6
675,-20,-25,6
676,-19,-25,6
677,-20,-26,7
678,-19,-26,7
679,-20,-25,7
680,-19,-25,7
681,-18,-26,6
682,-17,-26,6
683,-18,-25,6
684,-17,-25,6
685,-18,-26,7
686,-17,-26,7
687,-18,-25,7
688,-17,-25,7
689,-31,-21,2
690,-31,-22,3
691,-31,-21,3
692,-32,-19,0
693,-31,-19,0
694,-32,-20,1
695,-31,-20,1
696,-30,-20,1
697,-30,-19,1
698,-29,-19,1
699,-31,-18,1
700,-32,-17,1
701,-31,-17,1
702,-30,-18,1
703,-29,-18,1
704,-30,-17,1
705,-29,-17,1
706,-31,-20,2
707,-31,-19,2
708,-31,-20,3
709,-31,-19,3
710,-29,-20,2
711,-30,-19,2
712,-29,-19,2
713,-30,-20,3
714,-29,-20,3
715,-30,-19,3
716,-29,-19,3
717,-31,-18,2
718,-31,-18,3
719,-31,-17,3
720,-30,-18,2
721,-29,-18,2
722,-30,-18,3
723,-29,-18,3
724,-30,-17,3
725,-29,-17,3
726,-28,-19,1
727,-28,-17,1
728,-28,-20,2
729,-27,-20,2
730,-28,-19,2
731,-27,-19,2
732,-28,-20,3
733,-27,-20,3
734,-28,-19,3
735,-27,-19,3
736,-26,-20,2
737,-25,-20,2
738,-26,-20,3
739,-26,-19,3
740,-25,-19,3
741,-28,-18,2
742,-27,-18,2
743,-27,-17,2
744,-28,-18,3
745,-27,-18,3
746,-28,-17,3
747,-27,-17,3
748,-26,-18,2
749,-25,-18,2
750,-26,-17,2
751,-26,-18,3
752,-25,-18,3
753,-26,-17,3
754,-31,-24,5
755,-30,-24,5
756,-29,-24,5
757,-32,-21,4
758,-31,-21,4
759,-31,-21,5
760,-30,-22,4
761,-29,-22,4
762,-30,-21,5
763,-29,-21,5
764,-31,-21,6
765,-30,-21,6
766,-28,-24,5
767,-27,-24,5
768,-26,-24,4
769,-25,-24,4
770,-26,-24,5
771,-28,-22,4
772,-28,-21,5
773,-27,-21,5
774,-26,-21,5
775,-25,-21,5
776,-25,-24,6
777,-27,-21,6
778,-31,-20,4
779,-31,-19,4
780,-31,-20,5
781,-31,-19,5
782,-30,-20,4
783,-29,-20,4
784,-30,-19,4
785,-29,-19,4
786,-30,-20,5
787,-29,-20,5
788,-30,-19,5
