,occu_node_coor_list,14:35:18,358
0,-32,-28,-1
1,-13,-32,-3
2,-16,-32,-2
3,-32,-9,-4
4,-32,-4,-2
5,-32,-4,-1
6,-17,-2,-2
7,-18,-1,-1
8,-17,-1,-1
9,-16,-2,-2
10,-1,-7,-1
11,20,-32,-1
12,0,-8,-1
13,0,-7,-1
14,-1,6,-2
15,-2,6,-1
16,-1,6,-1
17,-2,7,-1
18,-1,7,-1
19,-32,17,-1
20,9,0,-1
21,-21,-32,2
22,-21,-32,3
23,-20,-32,2
24,-18,-32,2
25,-18,-32,3
26,-22,-32,4
27,-22,-32,5
28,-21,-32,5
29,-22,-32,6
30,-21,-32,7
31,-20,-32,4
32,-18,-32,4
33,-17,-32,5
34,-19,-32,7
35,-32,-21,2
36,-32,-21,3
37,-32,-20,0
38,-32,-19,1
39,-32,-24,5
40,-32,-22,5
41,-32,-21,5
42,-32,-20,4
43,-32,-19,4
44,-32,-20,5
45,-32,-17,4
46,-32,-17,5
47,-32,-20,6
48,-32,-20,7
49,-32,-19,7
50,-32,-18,6
51,-32,-17,7
52,-21,-32,8
53,-20,-32,8
54,-19,-32,9
55,-18,-32,8
56,-17,-32,8
57,-18,-32,9
58,-20,-32,11
59,-19,-32,11
60,-17,-32,11
61,-21,-32,13
62,-21,-32,15
63,-20,-32,13
64,-18,-32,12
65,-17,-32,13
66,-19,-32,14
67,-20,-32,15
68,-19,-32,15
69,-32,-21,9
70,-32,-17,8
71,-32,-19,10
72,-32,-19,11
73,-32,-18,11
74,-16,-32,1
75,-15,-32,1
76,-13,-32,1
77,-16,-32,2
78,-14,-32,3
79,-15,-32,5
80,-15,-32,7
81,-9,-32,5
82,-11,-32,7
83,-10,-32,6
84,-9,-32,6
85,-8,-28,3
86,-8,-32,5
87,-7,-32,7
88,-1,-32,5
89,-1,-32,6
90,-14,-32,9
91,-13,-32,9
92,-15,-32,10
93,-16,-32,11
94,-14,-32,10
95,-11,-32,8
96,-9,-32,10
97,-13,-32,12
98,-14,-32,13
99,-10,-32,12
100,-1,-32,9
101,-32,-16,5
102,-32,-15,7
103,-32,-9,5
104,-32,-11,6
105,-32,-5,1
106,-32,-4,0
107,-32,-4,2
108,-32,-1,2
109,-32,-1,3
110,-32,-7,7
111,-32,-6,6
112,-32,-5,6
113,-32,-6,7
114,-32,-4,4
115,-32,-4,5
116,-32,-3,5
117,-32,-2,4
118,-32,-1,4
119,-32,-4,6
120,-32,-2,6
121,-32,-1,7
122,-32,-16,10
123,-32,-6,8
124,-32,-7,11
125,-32,-3,8
126,-32,-4,9
127,-32,-3,9
128,-32,-2,10
129,-32,-1,11
130,-32,-5,14
131,-32,-4,13
132,-32,-2,12
133,-32,-1,13
134,-32,-4,15
135,-32,-2,14
136,-3,-14,6
137,-2,-12,4
138,-2,-12,5
139,-2,-11,7
140,-1,-9,6
141,-1,-10,7
142,-1,-8,7
143,-3,-16,8
144,-3,-15,8
145,-3,-12,8
146,-2,-12,8
147,-20,-32,17
148,3,-32,7
149,4,-32,5
150,6,-32,4
151,5,-32,6
152,7,-32,6
153,9,-32,2
154,14,-32,3
155,9,-32,5
156,11,-32,5
157,8,-32,6
158,9,-32,6
159,14,-32,7
160,15,-32,7
161,1,-32,9
162,4,-32,8
163,10,-32,8
164,11,-32,8
165,10,-32,9
166,8,-32,10
167,10,-32,10
168,11,-32,11
169,14,-32,10
170,15,-32,10
171,14,-32,11
172,15,-32,11
173,9,-32,12
174,13,-32,13
175,14,-32,13
176,15,-32,13
177,17,-32,0
178,16,-32,1
179,19,-32,1
180,16,-32,3
181,22,-32,1
182,21,-32,2
183,23,-32,3
184,17,-32,4
185,17,-32,5
186,19,-32,4
187,19,-32,5
188,17,-32,6
189,18,-32,6
190,21,-32,4
191,20,-32,5
192,22,-32,5
193,20,-32,6
194,22,-32,6
195,23,-32,6
196,24,-32,2
197,24,-32,7
198,16,-32,8
199,17,-32,8
200,18,-32,8
201,19,-32,8
202,16,-32,10
203,17,-32,11
204,18,-32,11
205,19,-32,11
206,20,-32,9
207,21,-32,9
208,20,-32,10
209,20,-32,11
210,22,-32,11
211,17,-32,13
212,19,-32,12
213,17,-32,15
214,19,-32,15
215,20,-32,13
216,21,-32,15
217,24,-32,8
218,25,-32,9
219,25,-32,11
220,27,-32,14
221,1,-15,5
222,1,-15,6
223,1,-13,6
224,0,-14,7
225,1,-14,7
226,0,-8,0
227,0,-8,1
228,0,-8,2
229,1,-8,2
230,0,-8,3
231,0,-8,4
232,0,-7,4
233,0,-8,5
234,1,-5,5
235,0,-8,6
236,0,-8,7
237,1,-8,7
238,2,-6,6
239,1,-14,8
240,2,-13,9
241,1,-11,8
242,1,-12,9
243,1,-10,8
244,1,-10,9
245,1,-8,8
246,18,-32,18
247,23,-32,16
248,-32,2,2
249,-32,1,4
250,-32,0,6
251,-32,1,7
252,-32,3,6
253,-32,6,6
254,-32,8,3
255,-32,15,3
256,-32,11,4
257,-32,9,6
258,-32,11,6
259,-32,12,4
260,-32,13,4
261,-32,13,5
262,-32,14,6
263,-32,0,9
264,-32,1,9
265,-32,3,9
266,-32,2,10
267,-32,0,14
268,-32,8,9
269,-32,10,8
270,-32,13,10
271,-32,13,11
272,-32,8,12
273,-32,9,13
274,-32,14,13
275,-32,15,14
276,-24,15,12
277,-1,6,0
278,-1,6,1
279,-1,6,3
280,-1,6,5
281,-1,7,5
282,-3,4,6
283,-4,7,7
284,-1,6,6
285,-1,6,7
286,-5,11,6
287,-3,10,5
288,-4,10,7
289,-4,5,8
290,-1,6,8
291,-6,9,8
292,-5,10,8
293,-6,14,11
294,-1,13,8
295,-2,12,9
296,-4,15,12
297,-32,17,1
298,-32,17,2
299,-32,17,3
300,-32,16,4
301,-32,19,5
302,-32,16,7
303,-32,17,7
304,-32,18,6
305,-32,19,6
306,-32,18,7
307,-32,19,7
308,-32,20,4
309,-32,21,5
310,-32,22,5
311,-32,21,6
312,-32,17,9
313,-32,18,8
314,-32,18,9
315,-32,19,9
316,-32,18,11
317,-32,19,11
318,-32,20,8
319,-32,20,10
320,-32,16,13
321,-32,17,13
322,-32,18,12
323,-32,18,13
324,-32,18,14
325,-32,21,12
326,-32,15,16
327,-32,15,17
328,-32,19,16
329,0,6,2
330,2,5,7
331,0,6,7
332,1,6,7
333,3,6,7
334,0,9,7
335,3,8,6
336,2,9,7
337,3,9,7
338,0,10,7
339,3,11,6
340,4,10,6
341,2,13,6
342,3,13,6
343,0,6,8
344,1,6,8
345,3,7,9
346,2,7,10
347,4,7,8
348,3,8,9
349,3,9,9
350,3,10,8
351,3,11,9
352,3,10,10
353,4,9,9
354,4,8,11
355,2,12,8
356,2,13,8
357,4,12,9
