,occu_node_coor_list,14:35:38,406
0,-32,-28,-1
1,-13,-32,-3
2,-16,-32,-2
3,-32,-9,-4
4,-32,-4,-2
5,-32,-4,-1
6,-17,-2,-2
7,-18,-1,-1
8,-17,-1,-1
9,-16,-2,-2
10,-1,-7,-1
11,20,-32,-1
12,0,-8,-1
13,0,-7,-1
14,-1,6,-2
15,-2,6,-1
16,-1,6,-1
17,-2,7,-1
18,-1,7,-1
19,-32,17,-1
20,9,0,-1
21,-21,-32,2
22,-21,-32,3
23,-20,-32,2
24,-18,-32,2
25,-18,-32,3
26,-22,-32,4
27,-22,-32,5
28,-21,-32,5
29,-22,-32,6
30,-21,-32,6
31,-20,-32,4
32,-18,-32,4
33,-17,-32,5
34,-19,-32,7
35,-17,-32,6
36,-18,-32,7
37,-32,-21,2
38,-32,-21,3
39,-32,-20,0
40,-32,-19,1
41,-32,-24,5
42,-32,-22,5
43,-32,-21,5
44,-32,-20,4
45,-32,-19,4
46,-32,-20,5
47,-32,-17,4
48,-32,-17,5
49,-32,-20,6
50,-32,-20,7
51,-32,-19,7
52,-32,-18,6
53,-32,-17,7
54,-21,-32,8
55,-21,-32,9
56,-19,-32,8
57,-20,-32,9
58,-18,-32,8
59,-17,-32,8
60,-20,-32,10
61,-20,-32,11
62,-19,-32,11
63,-18,-32,10
64,-17,-32,10
65,-17,-32,11
66,-21,-32,13
67,-21,-32,15
68,-20,-32,12
69,-20,-32,13
70,-18,-32,12
71,-17,-32,13
72,-19,-32,14
73,-20,-32,15
74,-19,-32,15
75,-18,-32,14
76,-32,-21,9
77,-32,-17,8
78,-32,-19,10
79,-32,-19,11
80,-32,-18,11
81,-16,-32,1
82,-15,-32,1
83,-13,-32,1
84,-16,-32,2
85,-14,-32,3
86,-15,-32,5
87,-16,-32,6
88,-15,-32,7
89,-13,-32,7
90,-12,-32,5
91,-9,-32,5
92,-12,-32,6
93,-11,-32,7
94,-10,-32,6
95,-9,-32,6
96,-8,-28,3
97,-8,-32,5
98,-7,-32,7
99,-1,-32,5
100,-1,-32,6
101,-16,-32,8
102,-16,-32,10
103,-15,-32,10
104,-16,-32,11
105,-14,-32,10
106,-11,-32,8
107,-12,-32,10
108,-12,-32,11
109,-10,-32,10
110,-16,-32,12
111,-13,-32,12
112,-14,-32,13
113,-10,-32,12
114,-1,-32,9
115,-32,-16,5
116,-32,-15,7
117,-32,-9,5
118,-32,-11,6
119,-32,-5,1
120,-32,-4,0
121,-32,-4,2
122,-32,-1,2
123,-32,-1,3
124,-32,-7,7
125,-32,-6,6
126,-32,-5,6
127,-32,-6,7
128,-32,-4,4
129,-32,-4,5
130,-32,-3,5
131,-32,-2,4
132,-32,-1,4
133,-32,-4,6
134,-32,-2,6
135,-32,-1,7
136,-32,-16,10
137,-32,-6,8
138,-32,-7,11
139,-32,-3,8
140,-32,-4,9
141,-32,-3,9
142,-32,-2,10
143,-32,-1,11
144,-32,-5,14
145,-32,-4,13
146,-32,-2,12
147,-32,-1,13
148,-32,-4,15
149,-32,-2,14
150,-3,-14,6
151,-2,-12,4
152,-2,-12,5
153,-2,-11,7
154,-1,-9,6
155,-1,-10,7
156,-1,-8,7
157,-3,-16,8
158,-3,-15,8
159,-7,-12,10
160,-6,-11,11
161,-6,-9,11
162,-3,-12,8
163,-2,-12,8
164,-6,-7,9
165,-20,-32,17
166,3,-32,7
167,4,-32,5
168,6,-32,4
169,5,-32,6
170,7,-32,6
171,9,-32,2
172,14,-32,3
173,9,-32,5
174,10,-32,5
175,11,-32,5
176,8,-32,6
177,9,-32,6
178,12,-32,4
179,15,-32,7
180,1,-32,9
181,4,-32,8
182,4,-32,11
183,6,-32,13
184,7,-32,13
185,9,-32,9
186,10,-32,8
187,11,-32,8
188,10,-32,9
189,8,-32,10
190,10,-32,10
191,11,-32,11
192,14,-32,9
193,14,-32,10
194,14,-32,11
195,15,-32,11
196,9,-32,12
197,13,-32,13
198,14,-32,13
199,15,-32,13
200,13,-32,15
201,14,-32,15
202,16,-32,0
203,17,-32,0
204,16,-32,1
205,19,-32,1
206,16,-32,3
207,18,-32,2
208,22,-32,1
209,21,-32,2
210,23,-32,3
211,17,-32,4
212,17,-32,5
213,19,-32,4
214,19,-32,5
215,18,-32,6
216,19,-32,6
217,21,-32,4
218,20,-32,5
219,22,-32,5
220,20,-32,6
221,22,-32,6
222,23,-32,6
223,24,-32,2
224,24,-32,7
225,16,-32,8
226,17,-32,8
227,18,-32,8
228,19,-32,8
229,19,-32,9
230,16,-32,10
231,17,-32,11
232,18,-32,11
233,21,-32,9
234,20,-32,10
235,20,-32,11
236,22,-32,11
237,17,-32,13
238,19,-32,12
239,17,-32,15
240,19,-32,14
241,19,-32,15
242,20,-32,13
243,21,-32,15
244,24,-32,8
245,25,-32,9
246,25,-32,11
247,27,-32,14
248,1,-15,5
249,1,-15,6
250,1,-13,6
251,0,-14,7
252,1,-14,7
253,0,-8,0
254,0,-8,1
255,0,-8,2
256,1,-8,2
257,0,-8,3
258,0,-8,4
259,0,-7,4
260,0,-8,5
261,1,-5,5
262,0,-8,6
263,0,-8,7
264,1,-8,7
265,2,-6,6
266,1,-14,8
267,2,-13,9
268,1,-11,8
269,1,-12,9
270,1,-10,8
271,1,-10,9
272,1,-8,8
273,12,-32,18
274,18,-32,18
275,20,-32,17
276,23,-32,16
277,20,-32,22
278,-32,2,2
279,-32,1,4
280,-32,0,6
281,-32,1,7
282,-32,3,6
283,-32,6,6
284,-32,8,3
285,-32,15,3
286,-32,11,4
287,-32,9,6
288,-32,11,6
289,-32,12,4
290,-32,13,4
291,-32,13,5
292,-32,14,6
293,-32,0,9
294,-32,1,9
295,-32,3,9
296,-32,2,10
297,-32,0,14
298,-32,8,9
299,-32,10,8
300,-32,10,9
301,-32,8,10
302,-32,9,11
303,-32,10,11
304,-32,12,8
305,-32,13,9
306,-32,15,8
307,-32,12,11
308,-32,13,11
309,-32,8,12
310,-32,9,12
311,-32,9,13
312,-32,14,13
313,-32,15,14
314,-24,15,12
315,-1,6,0
316,-1,6,1
317,-1,6,3
318,-1,6,5
319,-1,7,5
320,-3,4,6
321,-4,7,7
322,-1,6,6
323,-1,6,7
324,-5,11,6
325,-3,10,5
326,-4,10,7
327,-5,7,9
328,-4,5,8
329,-1,6,8
330,-5,10,9
331,-4,8,9
332,-1,9,9
333,-4,11,9
334,-1,8,10
335,-3,11,10
336,-6,14,11
337,-1,13,8
338,-2,12,9
339,-2,13,9
340,-4,15,12
341,-32,17,1
342,-32,17,2
343,-32,16,4
344,-32,18,4
345,-32,17,6
346,-32,16,7
347,-32,17,7
348,-32,19,6
349,-32,18,7
350,-32,20,4
351,-32,21,5
352,-32,22,5
353,-32,21,6
354,-32,16,8
355,-32,17,8
356,-32,19,9
357,-32,17,10
358,-32,17,11
359,-32,18,10
360,-32,19,11
361,-32,20,8
362,-32,21,9
363,-32,21,10
364,-32,16,12
365,-32,17,12
366,-32,16,13
367,-32,17,13
368,-32,18,12
369,-32,19,12
370,-32,18,13
371,-32,18,14
372,-32,20,12
373,-32,21,12
374,-32,15,16
375,-32,15,17
376,-32,19,16
377,0,6,2
378,2,5,7
379,0,6,7
380,1,6,7
381,3,6,7
382,0,9,7
383,3,8,6
384,2,9,7
385,3,9,7
386,0,10,7
387,3,11,6
388,4,10,6
389,2,13,6
390,3,13,6
391,0,6,8
392,1,6,8
393,3,7,9
394,2,7,10
395,4,7,8
396,0,9,9
397,1,9,9
398,3,8,9
399,3,9,9
400,0,11,9
401,3,10,8
402,3,10,10
403,4,8,11
404,2,12,8
405,2,13,8
