,occu_node_coor_list,14:36:00,472
0,-32,-28,-1
1,-13,-32,-3
2,-16,-32,-2
3,-32,-9,-4
4,-32,-4,-2
5,-32,-4,-1
6,-17,-2,-2
7,-18,-1,-1
8,-17,-1,-1
9,-16,-2,-2
10,-1,-7,-1
11,20,-32,-1
12,0,-8,-1
13,0,-7,-1
14,-1,6,-2
15,-2,6,-1
16,-1,6,-1
17,-2,7,-1
18,-1,7,-1
19,-32,17,-1
20,9,0,-1
21,-32,-27,1
22,-21,-32,2
23,-21,-32,3
24,-20,-32,2
25,-18,-32,2
26,-18,-32,3
27,-22,-32,4
28,-22,-32,5
29,-22,-32,6
30,-22,-32,7
31,-20,-32,4
32,-18,-32,4
33,-18,-32,5
34,-17,-32,5
35,-19,-32,6
36,-19,-32,7
37,-18,-32,6
38,-32,-23,3
39,-32,-21,2
40,-32,-21,3
41,-32,-20,0
42,-32,-19,1
43,-32,-24,5
44,-32,-22,5
45,-32,-21,5
46,-32,-20,4
47,-32,-19,4
48,-32,-20,5
49,-32,-17,4
50,-32,-18,5
51,-32,-19,6
52,-32,-20,7
53,-32,-18,6
54,-32,-17,6
55,-32,-17,7
56,-32,-26,8
57,-21,-32,8
58,-21,-32,10
59,-21,-32,11
60,-20,-32,8
61,-20,-32,9
62,-20,-32,10
63,-19,-32,11
64,-18,-32,10
65,-18,-32,11
66,-17,-32,11
67,-21,-32,13
68,-21,-32,15
69,-20,-32,12
70,-20,-32,13
71,-18,-32,12
72,-17,-32,13
73,-20,-32,14
74,-19,-32,14
75,-20,-32,15
76,-18,-32,14
77,-17,-32,14
78,-32,-21,8
79,-32,-21,11
80,-32,-20,8
81,-32,-20,9
82,-32,-19,9
83,-32,-18,8
84,-32,-20,10
85,-32,-19,10
86,-32,-20,11
87,-32,-17,10
88,-32,-17,11
89,-32,-21,13
90,-32,-22,14
91,-32,-20,12
92,-32,-18,12
93,-32,-18,13
94,-32,-17,13
95,-32,-20,15
96,-32,-18,14
97,-32,-18,15
98,-16,-32,1
99,-15,-32,1
100,-13,-32,1
101,-16,-32,2
102,-14,-32,3
103,-15,-32,5
104,-14,-32,5
105,-13,-32,5
106,-16,-32,6
107,-16,-32,7
108,-15,-32,7
109,-13,-32,7
110,-12,-32,5
111,-9,-32,5
112,-12,-32,6
113,-12,-32,7
114,-11,-32,7
115,-10,-32,6
116,-9,-32,6
117,-8,-28,3
118,-8,-32,5
119,-7,-32,7
120,-1,-32,5
121,-1,-32,6
122,-16,-32,9
123,-14,-32,8
124,-14,-32,9
125,-16,-32,10
126,-16,-32,11
127,-15,-32,11
128,-11,-32,9
129,-9,-32,8
130,-12,-32,10
131,-11,-32,10
132,-12,-32,11
133,-16,-32,12
134,-13,-32,12
135,-14,-32,13
136,-10,-32,12
137,-9,-32,13
138,-10,-32,14
139,-5,-32,8
140,-6,-32,9
141,-8,-32,10
142,-8,-32,11
143,-7,-32,11
144,-3,-32,9
145,-32,-16,5
146,-32,-16,7
147,-32,-9,5
148,-32,-11,6
149,-32,-5,1
150,-32,-4,0
151,-32,-4,2
152,-32,-1,2
153,-32,-1,3
154,-32,-7,7
155,-32,-6,6
156,-32,-5,6
157,-32,-6,7
158,-32,-4,4
159,-32,-4,5
160,-32,-3,5
161,-32,-2,4
162,-32,-1,4
163,-32,-4,6
164,-32,-2,6
165,-32,-1,7
166,-32,-16,9
167,-32,-13,10
168,-32,-14,11
169,-32,-12,8
170,-32,-12,9
171,-32,-11,9
172,-32,-10,8
173,-32,-9,9
174,-32,-16,12
175,-32,-8,8
176,-32,-6,8
177,-32,-5,9
178,-32,-7,11
179,-32,-6,10
180,-32,-3,8
181,-32,-3,9
182,-32,-2,9
183,-32,-1,9
184,-32,-1,11
185,-32,-5,14
186,-32,-4,13
187,-32,-2,12
188,-32,-1,13
189,-32,-4,15
190,-32,-2,14
191,-3,-14,6
192,-2,-12,4
193,-2,-12,5
194,-2,-11,7
195,-1,-9,6
196,-1,-10,7
197,-1,-8,7
198,-3,-15,8
199,-1,-14,9
200,-3,-15,10
201,-1,-15,10
202,-3,-13,11
203,-7,-12,10
204,-6,-11,11
205,-6,-9,11
206,-3,-12,8
207,-2,-12,8
208,-2,-11,9
209,-3,-11,10
210,-3,-10,10
211,-2,-7,9
212,-2,-8,10
213,-21,-32,17
214,-21,-32,18
215,-20,-32,19
216,-32,-19,17
217,3,-32,7
218,4,-32,5
219,6,-32,4
220,5,-32,6
221,7,-32,6
222,7,-32,7
223,9,-32,2
224,14,-32,3
225,9,-32,5
226,10,-32,5
227,11,-32,5
228,8,-32,6
229,9,-32,6
230,10,-32,7
231,12,-32,4
232,15,-32,7
233,0,-32,9
234,2,-32,9
235,3,-32,10
236,4,-32,8
237,7,-32,8
238,4,-32,10
239,4,-32,11
240,6,-32,13
241,7,-32,13
242,9,-32,9
243,10,-32,8
244,11,-32,8
245,8,-32,10
246,9,-32,11
247,10,-32,10
248,11,-32,11
249,12,-32,10
250,14,-32,10
251,14,-32,11
252,15,-32,11
253,9,-32,12
254,10,-32,13
255,13,-32,13
256,14,-32,13
257,15,-32,13
258,13,-32,15
259,14,-32,15
260,16,-32,0
261,17,-32,0
262,16,-32,1
263,19,-32,1
264,16,-32,3
265,18,-32,2
266,22,-32,1
267,21,-32,2
268,23,-32,3
269,17,-32,4
270,17,-32,5
271,19,-32,4
272,19,-32,5
273,18,-32,6
274,19,-32,6
275,21,-32,4
276,20,-32,5
277,22,-32,5
278,20,-32,6
279,22,-32,6
280,23,-32,6
281,24,-32,2
282,24,-32,7
283,16,-32,8
284,17,-32,8
285,18,-32,8
286,19,-32,8
287,19,-32,9
288,16,-32,10
289,17,-32,11
290,18,-32,11
291,21,-32,9
292,20,-32,10
293,20,-32,11
294,22,-32,11
295,17,-32,13
296,19,-32,12
297,17,-32,15
298,19,-32,14
299,19,-32,15
300,20,-32,13
301,21,-32,15
302,24,-32,8
303,25,-32,9
304,25,-32,11
305,27,-32,14
306,1,-15,5
307,1,-13,6
308,0,-14,7
309,1,-14,7
310,0,-8,0
311,0,-8,1
312,0,-8,2
313,1,-8,2
314,0,-8,3
315,0,-8,4
316,0,-7,4
317,0,-8,5
318,1,-5,5
319,0,-8,6
320,0,-8,7
321,1,-8,7
322,2,-6,6
323,0,-15,9
324,1,-14,8
325,2,-13,9
326,1,-11,8
327,1,-12,9
328,1,-10,8
329,1,-10,9
330,1,-8,8
331,12,-32,18
332,18,-32,18
333,20,-32,17
334,23,-32,16
335,20,-32,22
336,-32,2,2
337,-32,1,4
338,-32,0,6
339,-32,1,7
340,-32,3,6
341,-32,5,6
342,-32,5,7
343,-32,8,3
344,-32,15,3
345,-32,11,4
346,-32,9,6
347,-32,11,6
348,-32,12,4
349,-32,13,4
350,-32,13,5
351,-32,14,6
352,-32,0,9
353,-32,1,9
354,-32,3,9
355,-32,0,10
356,-32,3,11
357,-32,4,8
358,-32,6,8
359,-32,7,8
360,-32,4,10
361,-32,7,10
362,-32,0,14
363,-32,8,9
364,-32,10,8
365,-32,10,9
366,-32,9,11
367,-32,10,11
368,-32,12,8
369,-32,13,9
370,-32,15,8
371,-32,12,11
372,-32,13,11
373,-32,8,12
374,-32,9,12
375,-32,9,13
376,-32,14,13
377,-32,15,14
378,-24,15,12
379,-1,6,0
380,-1,6,1
381,-1,6,3
382,-1,6,5
383,-1,7,5
384,-3,4,6
385,-4,7,7
386,-1,6,6
387,-1,6,7
388,-5,11,6
389,-3,10,5
390,-4,10,7
391,-5,3,9
392,-3,3,9
393,-5,4,11
394,-4,5,8
395,-3,6,9
396,-1,6,8
397,-4,6,11
398,-1,9,9
399,-3,8,10
400,-1,8,10
401,-3,11,10
402,-6,14,11
403,-1,13,8
404,-2,12,9
405,-2,13,9
406,-4,15,12
407,-32,17,1
408,-32,17,2
409,-32,16,4
410,-32,18,4
411,-32,17,6
412,-32,16,7
413,-32,17,7
414,-32,19,6
415,-32,18,7
416,-32,20,4
417,-32,21,5
418,-32,22,5
419,-32,21,6
420,-32,16,8
421,-32,17,8
422,-32,19,9
423,-32,17,10
424,-32,17,11
425,-32,18,10
426,-32,19,11
427,-32,20,8
428,-32,21,9
429,-32,21,10
430,-32,16,12
431,-32,17,12
432,-32,16,13
433,-32,17,13
434,-32,18,12
435,-32,19,12
436,-32,18,13
437,-32,18,14
438,-32,20,12
439,-32,21,12
440,-32,15,16
441,-32,15,17
442,-32,19,16
443,0,6,2
444,2,5,7
445,0,6,7
446,1,6,7
447,3,6,7
448,0,9,7
449,3,8,6
450,2,9,7
451,3,9,7
452,0,10,7
453,3,11,6
454,4,10,6
455,2,13,6
456,3,13,6
457,0,6,8
458,1,6,8
459,3,7,9
460,2,7,10
461,4,7,8
462,0,9,9
463,1,9,9
464,3,8,9
465,3,9,9
466,0,11,9
467,3,10,8
468,3,10,10
469,4,8,11
470,2,12,8
471,2,13,8
