,free_node_coor_list,14:36:00,27385
0,-31,-28,-1
1,-30,-27,-1
2,-29,-27,-1
3,-15,-32,-1
4,-16,-31,-1
5,-13,-32,-2
6,-13,-31,-2
7,-13,-30,-2
8,-13,-29,-1
9,-13,-28,-1
10,-32,-8,-4
11,-31,-8,-3
12,-30,-8,-3
13,-29,-8,-3
14,-28,-8,-3
15,-27,-7,-3
16,-26,-7,-3
17,-25,-7,-2
18,-31,-4,-2
19,-31,-4,-1
20,-31,-3,-1
21,-30,-4,-2
22,-29,-3,-2
23,-30,-3,-1
24,-29,-3,-1
25,-28,-3,-2
26,-27,-3,-2
27,-28,-3,-1
28,-27,-3,-1
29,-26,-3,-2
30,-25,-3,-2
31,-26,-3,-1
32,-25,-3,-1
33,-24,-7,-2
34,-23,-7,-2
35,-22,-6,-2
36,-21,-6,-2
37,-20,-6,-2
38,-19,-6,-1
39,-18,-6,-1
40,-17,-6,-1
41,-24,-3,-2
42,-23,-3,-2
43,-24,-3,-1
44,-23,-3,-1
45,-22,-3,-2
46,-22,-3,-1
47,-24,-2,-1
48,-23,-2,-1
49,-22,-2,-1
50,-21,-2,-1
51,-20,-2,-1
52,-19,-2,-1
53,-18,-2,-1
54,-17,-2,-1
55,-16,-5,-1
56,-15,-5,-1
57,-14,-5,-1
58,-16,-2,-1
59,-15,-1,-1
60,-14,-2,-1
61,-13,-2,-1
62,-14,-1,-1
63,-13,-1,-1
64,-12,-2,-1
65,-12,-1,-1
66,-11,-1,-1
67,-10,-2,-1
68,-9,-2,-1
69,-10,-1,-1
70,-9,-1,-1
71,-1,-6,-1
72,-1,-5,-1
73,-8,-2,-1
74,-7,-2,-1
75,-8,-1,-1
76,-7,-1,-1
77,-6,-1,-1
78,-5,-1,-1
79,-1,-4,-1
80,-1,-3,-1
81,-4,-1,-1
82,-3,-1,-1
83,-1,-2,-1
84,-2,-1,-1
85,-1,-1,-1
86,27,-31,-14
87,27,-30,-14
88,26,-29,-13
89,26,-28,-12
90,26,-27,-12
91,25,-25,-11
92,26,-26,-11
93,25,-24,-10
94,25,-23,-9
95,25,-22,-9
96,20,-31,-1
97,19,-19,-1
98,20,-20,-1
99,21,-20,-1
100,20,-19,-1
101,21,-19,-1
102,23,-19,-2
103,22,-20,-1
104,23,-20,-1
105,22,-19,-1
106,24,-21,-8
107,24,-20,-8
108,24,-19,-7
109,24,-18,-7
110,24,-17,-6
111,31,-22,-1
112,27,-19,-3
113,24,-19,-2
114,25,-19,-2
115,24,-20,-1
116,25,-20,-1
117,26,-20,-2
118,27,-20,-2
119,26,-19,-2
120,28,-19,-3
121,29,-19,-3
122,31,-19,-4
123,30,-19,-3
124,28,-20,-2
125,29,-20,-2
126,30,-20,-2
127,31,-20,-2
128,30,-20,-1
129,31,-20,-1
130,12,-15,-1
131,13,-15,-1
132,14,-15,-1
133,15,-15,-1
134,0,-6,-1
135,0,-5,-1
136,0,-4,-1
137,0,-3,-1
138,0,-2,-1
139,0,-1,-1
140,1,-1,-1
141,2,-1,-1
142,3,-1,-1
143,4,-1,-1
144,5,-1,-1
145,23,-16,-5
146,23,-15,-5
147,17,-15,-2
148,16,-15,-1
149,18,-15,-2
150,19,-14,-2
151,21,-14,-3
152,23,-14,-4
153,23,-13,-4
154,22,-14,-3
155,23,-14,-3
156,20,-14,-2
157,22,-12,-3
158,22,-11,-3
159,22,-10,-2
160,22,-9,-1
161,31,-13,-5
162,24,-14,-3
163,25,-14,-3
164,26,-14,-4
165,27,-14,-4
166,28,-14,-4
167,29,-13,-4
168,30,-13,-4
169,21,-8,-1
170,24,-6,-1
171,25,-6,-1
172,26,-6,-1
173,27,-6,-1
174,28,-6,-1
175,29,-6,-1
176,30,-6,-2
177,31,-6,-2
178,-25,3,-1
179,-25,4,-1
180,-25,5,-1
181,-25,6,-2
182,-26,7,-2
183,-18,0,-1
184,-17,0,-1
185,-26,9,-3
186,-27,11,-3
187,-26,10,-3
188,-26,8,-2
189,-27,12,-4
190,-27,13,-4
191,-27,14,-4
192,-28,15,-4
193,-18,12,-1
194,-18,13,-1
195,-19,14,-1
196,-19,15,-1
197,-18,14,-1
198,-18,15,-1
199,-16,0,-1
200,-15,0,-1
201,-14,0,-1
202,-13,0,-1
203,-12,0,-1
204,-11,0,-1
205,-10,0,-1
206,-9,0,-1
207,-8,0,-1
208,-7,0,-1
209,-6,0,-1
210,-5,0,-1
211,-4,0,-1
212,-3,0,-1
213,-2,0,-1
214,-1,0,-1
215,-1,1,-1
216,-1,2,-1
217,-1,3,-1
218,-1,4,-1
219,-1,5,-1
220,-31,29,-9
221,-32,30,-9
222,-32,31,-9
223,-29,19,-6
224,-29,18,-5
225,-28,16,-5
226,-28,17,-5
227,-30,22,-7
228,-30,23,-7
229,-29,20,-6
230,-29,21,-6
231,-32,16,-1
232,-31,16,-1
233,-30,16,-1
234,-29,16,-1
235,-28,16,-1
236,-27,16,-1
237,-26,16,-1
238,-26,20,-1
239,-26,21,-1
240,-27,22,-1
241,-27,23,-1
242,-19,16,-1
243,-19,17,-1
244,-18,16,-2
245,-18,17,-2
246,-18,16,-1
247,-18,17,-1
248,-19,18,-2
249,-19,19,-2
250,-19,19,-1
251,-18,18,-2
252,-18,19,-2
253,-18,18,-1
254,-18,19,-1
255,-17,20,-3
256,-17,21,-3
257,-19,22,-3
258,-19,23,-3
259,-17,22,-3
260,-18,23,-3
261,-17,23,-3
262,-19,20,-2
263,-19,21,-2
264,-19,20,-1
265,-19,21,-1
266,-18,20,-2
267,-18,21,-2
268,-18,20,-1
269,-17,20,-1
270,-18,21,-1
271,-17,21,-1
272,-19,22,-2
273,-19,23,-2
274,-19,23,-1
275,-18,22,-2
276,-17,22,-2
277,-18,23,-2
278,-17,23,-2
279,-18,22,-1
280,-17,22,-1
281,-17,23,-1
282,-30,25,-8
283,-30,24,-7
284,-31,26,-8
285,-31,27,-8
286,-31,28,-8
287,-27,24,-1
288,-27,25,-1
289,-27,26,-2
290,-27,27,-2
291,-28,28,-2
292,-28,29,-2
293,-28,30,-2
294,-28,31,-2
295,-19,29,-5
296,-17,28,-5
297,-17,29,-5
298,-19,30,-5
299,-19,31,-5
300,-17,30,-5
301,-17,31,-5
302,-21,26,-1
303,-21,27,-1
