,free_node_coor_list,14:36:11,28394
0,-31,-28,-1
1,-30,-27,-1
2,-29,-27,-1
3,-15,-32,-1
4,-16,-31,-1
5,-13,-32,-2
6,-13,-31,-2
7,-13,-30,-2
8,-13,-29,-1
9,-13,-28,-1
10,-32,-8,-4
11,-31,-8,-3
12,-30,-8,-3
13,-29,-8,-3
14,-32,-5,-1
15,-31,-5,-1
16,-30,-5,-1
17,-29,-5,-1
18,-28,-8,-3
19,-27,-7,-3
20,-26,-7,-3
21,-25,-7,-2
22,-28,-5,-1
23,-31,-4,-2
24,-31,-4,-1
25,-31,-3,-1
26,-30,-4,-2
27,-29,-3,-2
28,-30,-3,-1
29,-29,-3,-1
30,-28,-3,-2
31,-27,-3,-2
32,-28,-3,-1
33,-27,-3,-1
34,-26,-3,-2
35,-25,-3,-2
36,-26,-3,-1
37,-25,-3,-1
38,-24,-7,-2
39,-23,-7,-2
40,-22,-6,-2
41,-21,-6,-2
42,-20,-6,-2
43,-19,-6,-1
44,-18,-6,-1
45,-17,-6,-1
46,-24,-3,-2
47,-23,-3,-2
48,-24,-3,-1
49,-23,-3,-1
50,-22,-3,-2
51,-22,-3,-1
52,-24,-2,-1
53,-23,-2,-1
54,-22,-2,-1
55,-21,-2,-1
56,-20,-2,-1
57,-19,-2,-1
58,-18,-2,-1
59,-17,-2,-1
60,-16,-5,-1
61,-15,-5,-1
62,-14,-5,-1
63,-16,-2,-1
64,-15,-1,-1
65,-14,-2,-1
66,-13,-2,-1
67,-14,-1,-1
68,-13,-1,-1
69,-12,-2,-1
70,-12,-1,-1
71,-11,-1,-1
72,-10,-2,-1
73,-9,-2,-1
74,-10,-1,-1
75,-9,-1,-1
76,-1,-6,-1
77,-1,-5,-1
78,-8,-2,-1
79,-7,-2,-1
80,-8,-1,-1
81,-7,-1,-1
82,-6,-1,-1
83,-5,-1,-1
84,-1,-4,-1
85,-1,-3,-1
86,-4,-1,-1
87,-3,-1,-1
88,-1,-2,-1
89,-2,-1,-1
90,-1,-1,-1
91,27,-31,-14
92,27,-30,-14
93,26,-29,-13
94,26,-28,-12
95,26,-27,-12
96,25,-25,-11
97,26,-26,-11
98,25,-24,-10
99,25,-23,-9
100,25,-22,-9
101,20,-31,-1
102,19,-19,-1
103,20,-20,-1
104,21,-20,-1
105,20,-19,-1
106,21,-19,-1
107,23,-19,-2
108,22,-20,-1
109,23,-20,-1
110,22,-19,-1
111,24,-21,-8
112,24,-20,-8
113,24,-19,-7
114,24,-18,-7
115,24,-17,-6
116,31,-22,-1
117,27,-19,-3
118,24,-19,-2
119,25,-19,-2
120,24,-20,-1
121,25,-20,-1
122,26,-20,-2
123,27,-20,-2
124,26,-19,-2
125,28,-19,-3
126,29,-19,-3
127,31,-19,-4
128,30,-19,-3
129,28,-20,-2
130,29,-20,-2
131,30,-20,-2
132,31,-20,-2
133,30,-20,-1
134,31,-20,-1
135,12,-15,-1
136,13,-15,-1
137,14,-15,-1
138,15,-15,-1
139,0,-6,-1
140,0,-5,-1
141,0,-4,-1
142,0,-3,-1
143,0,-2,-1
144,0,-1,-1
145,1,-1,-1
146,2,-1,-1
147,3,-1,-1
148,4,-1,-1
149,5,-1,-1
150,23,-16,-5
151,23,-15,-5
152,17,-15,-2
153,16,-15,-1
154,18,-15,-2
155,19,-14,-2
156,21,-14,-3
157,23,-14,-4
158,23,-13,-4
159,22,-14,-3
160,23,-14,-3
161,20,-14,-2
162,22,-12,-3
163,22,-11,-3
164,22,-10,-2
165,22,-9,-1
166,31,-13,-5
167,24,-14,-3
168,25,-14,-3
169,26,-14,-4
170,27,-14,-4
171,28,-14,-4
172,29,-13,-4
173,30,-13,-4
174,21,-8,-1
175,24,-6,-1
176,25,-6,-1
177,26,-6,-1
178,27,-6,-1
179,28,-6,-1
180,29,-6,-1
181,30,-6,-2
182,31,-6,-2
183,-25,3,-1
184,-25,4,-1
185,-25,5,-1
186,-25,6,-2
187,-26,7,-2
188,-18,0,-1
189,-17,0,-1
190,-26,9,-3
191,-27,11,-3
192,-26,10,-3
193,-26,8,-2
194,-27,12,-4
195,-27,13,-4
196,-27,14,-4
197,-28,15,-4
198,-18,12,-1
199,-18,13,-1
200,-19,14,-1
201,-19,15,-1
202,-18,14,-1
203,-18,15,-1
204,-16,0,-1
205,-15,0,-1
206,-14,0,-1
207,-13,0,-1
208,-12,0,-1
209,-11,0,-1
210,-10,0,-1
211,-9,0,-1
212,-8,0,-1
213,-7,0,-1
214,-6,0,-1
215,-5,0,-1
216,-4,0,-1
217,-3,0,-1
218,-2,0,-1
219,-1,0,-1
220,-1,1,-1
221,-1,2,-1
222,-1,3,-1
223,-1,4,-1
224,-1,5,-1
225,-31,29,-9
226,-32,30,-9
227,-32,31,-9
228,-29,19,-6
229,-29,18,-5
230,-28,16,-5
231,-28,17,-5
232,-30,22,-7
233,-30,23,-7
234,-29,20,-6
235,-29,21,-6
236,-32,16,-1
237,-31,16,-1
238,-30,16,-1
239,-29,16,-1
240,-28,16,-1
241,-27,16,-1
242,-26,16,-1
243,-26,20,-1
244,-26,21,-1
245,-27,22,-1
246,-27,23,-1
247,-19,16,-1
248,-19,17,-1
249,-18,16,-2
250,-18,17,-2
251,-18,16,-1
252,-18,17,-1
253,-19,18,-2
254,-19,19,-2
255,-19,19,-1
256,-18,18,-2
257,-18,19,-2
258,-18,18,-1
259,-18,19,-1
260,-17,20,-3
261,-17,21,-3
262,-19,22,-3
263,-19,23,-3
264,-17,22,-3
265,-18,23,-3
266,-17,23,-3
267,-19,20,-2
268,-19,21,-2
269,-19,20,-1
270,-19,21,-1
271,-18,20,-2
272,-18,21,-2
273,-18,20,-1
274,-17,20,-1
275,-18,21,-1
276,-17,21,-1
277,-19,22,-2
278,-19,23,-2
279,-19,23,-1
280,-18,22,-2
281,-17,22,-2
282,-18,23,-2
283,-17,23,-2
284,-18,22,-1
285,-17,22,-1
286,-17,23,-1
287,-30,25,-8
288,-30,24,-7
289,-31,26,-8
290,-31,27,-8
291,-31,28,-8
292,-27,24,-1
293,-27,25,-1
294,-27,26,-2
295,-27,27,-2
296,-28,28,-2
297,-28,29,-2
298,-28,30,-2
299,-28,31,-2
300,-19,29,-5
301,-17,28,-5
302,-17,29,-5
303,-19,30,-5
