,occu_node_coor_list,14:35:48,441
0,-32,-28,-1
1,-13,-32,-3
2,-16,-32,-2
3,-32,-9,-4
4,-32,-4,-2
5,-32,-4,-1
6,-17,-2,-2
7,-18,-1,-1
8,-17,-1,-1
9,-16,-2,-2
10,-1,-7,-1
11,20,-32,-1
12,0,-8,-1
13,0,-7,-1
14,-1,6,-2
15,-2,6,-1
16,-1,6,-1
17,-2,7,-1
18,-1,7,-1
19,-32,17,-1
20,9,0,-1
21,-21,-32,2
22,-21,-32,3
23,-20,-32,2
24,-18,-32,2
25,-18,-32,3
26,-22,-32,4
27,-22,-32,5
28,-22,-32,6
29,-21,-32,6
30,-20,-32,4
31,-18,-32,4
32,-18,-32,5
33,-17,-32,5
34,-19,-32,7
35,-18,-32,6
36,-32,-21,2
37,-32,-21,3
38,-32,-20,0
39,-32,-19,1
40,-32,-24,5
41,-32,-22,5
42,-32,-21,5
43,-32,-20,4
44,-32,-19,4
45,-32,-20,5
46,-32,-17,4
47,-32,-20,6
48,-32,-19,6
49,-32,-20,7
50,-32,-19,7
51,-32,-18,6
52,-32,-17,6
53,-32,-17,7
54,-21,-32,8
55,-21,-32,10
56,-21,-32,11
57,-20,-32,8
58,-20,-32,9
59,-20,-32,10
60,-19,-32,11
61,-18,-32,11
62,-17,-32,11
63,-21,-32,13
64,-21,-32,15
65,-20,-32,12
66,-20,-32,13
67,-18,-32,12
68,-17,-32,13
69,-19,-32,14
70,-20,-32,15
71,-19,-32,15
72,-18,-32,14
73,-17,-32,14
74,-32,-21,9
75,-32,-17,8
76,-32,-20,10
77,-32,-20,11
78,-32,-18,10
79,-32,-18,11
80,-32,-17,11
81,-32,-20,12
82,-32,-19,12
83,-32,-17,13
84,-32,-18,14
85,-16,-32,1
86,-15,-32,1
87,-13,-32,1
88,-16,-32,2
89,-14,-32,3
90,-15,-32,5
91,-16,-32,6
92,-15,-32,7
93,-13,-32,7
94,-12,-32,5
95,-9,-32,5
96,-12,-32,6
97,-11,-32,7
98,-10,-32,6
99,-9,-32,6
100,-8,-28,3
101,-8,-32,5
102,-7,-32,7
103,-1,-32,5
104,-1,-32,6
105,-15,-32,10
106,-16,-32,11
107,-14,-32,10
108,-11,-32,8
109,-12,-32,10
110,-12,-32,11
111,-10,-32,10
112,-16,-32,12
113,-13,-32,12
114,-14,-32,13
115,-10,-32,12
116,-1,-32,9
117,-32,-16,5
118,-32,-16,7
119,-32,-9,5
120,-32,-11,6
121,-32,-5,1
122,-32,-4,0
123,-32,-4,2
124,-32,-1,2
125,-32,-1,3
126,-32,-7,7
127,-32,-6,6
128,-32,-5,6
129,-32,-6,7
130,-32,-4,4
131,-32,-4,5
132,-32,-3,5
133,-32,-2,4
134,-32,-1,4
135,-32,-4,6
136,-32,-2,6
137,-32,-1,7
138,-32,-16,9
139,-32,-13,10
140,-32,-14,11
141,-32,-12,8
142,-32,-12,9
143,-32,-11,9
144,-32,-10,8
145,-32,-9,9
146,-32,-16,12
147,-32,-8,8
148,-32,-6,8
149,-32,-5,9
150,-32,-7,11
151,-32,-6,10
152,-32,-3,8
153,-32,-3,9
154,-32,-2,9
155,-32,-1,9
156,-32,-1,11
157,-32,-5,14
158,-32,-4,13
159,-32,-2,12
160,-32,-1,13
161,-32,-4,15
162,-32,-2,14
163,-3,-14,6
164,-2,-12,4
165,-2,-12,5
166,-2,-11,7
167,-1,-9,6
168,-1,-10,7
169,-1,-8,7
170,-3,-15,8
171,-3,-15,9
172,-3,-14,9
173,-3,-15,10
174,-3,-13,11
175,-7,-12,10
176,-6,-11,11
177,-6,-9,11
178,-3,-12,8
179,-2,-12,8
180,-3,-11,10
181,-3,-10,10
182,-6,-7,9
183,-2,-7,9
184,-3,-8,10
185,-2,-8,10
186,-21,-32,17
187,-21,-32,18
188,-20,-32,19
189,3,-32,7
190,4,-32,5
191,6,-32,4
192,5,-32,6
193,7,-32,6
194,9,-32,2
195,14,-32,3
196,9,-32,5
197,10,-32,5
198,11,-32,5
199,8,-32,6
200,9,-32,6
201,12,-32,4
202,15,-32,7
203,1,-32,9
204,4,-32,8
205,4,-32,11
206,6,-32,13
207,7,-32,13
208,9,-32,9
209,10,-32,8
210,11,-32,8
211,10,-32,9
212,8,-32,10
213,10,-32,10
214,11,-32,11
215,14,-32,9
216,14,-32,10
217,14,-32,11
218,15,-32,11
219,9,-32,12
220,13,-32,13
221,14,-32,13
222,15,-32,13
223,13,-32,15
224,14,-32,15
225,16,-32,0
226,17,-32,0
227,16,-32,1
228,19,-32,1
229,16,-32,3
230,18,-32,2
231,22,-32,1
232,21,-32,2
233,23,-32,3
234,17,-32,4
235,17,-32,5
236,19,-32,4
237,19,-32,5
238,18,-32,6
239,19,-32,6
240,21,-32,4
241,20,-32,5
242,22,-32,5
243,20,-32,6
244,22,-32,6
245,23,-32,6
246,24,-32,2
247,24,-32,7
248,16,-32,8
249,17,-32,8
250,18,-32,8
251,19,-32,8
252,19,-32,9
253,16,-32,10
254,17,-32,11
255,18,-32,11
256,21,-32,9
257,20,-32,10
258,20,-32,11
259,22,-32,11
260,17,-32,13
261,19,-32,12
262,17,-32,15
263,19,-32,14
264,19,-32,15
265,20,-32,13
266,21,-32,15
267,24,-32,8
268,25,-32,9
269,25,-32,11
270,27,-32,14
271,1,-15,5
272,1,-15,6
273,1,-13,6
274,0,-14,7
275,1,-14,7
276,0,-8,0
277,0,-8,1
278,0,-8,2
279,1,-8,2
280,0,-8,3
281,0,-8,4
282,0,-7,4
283,0,-8,5
284,1,-5,5
285,0,-8,6
286,0,-8,7
287,1,-8,7
288,2,-6,6
289,1,-14,8
290,2,-13,9
291,1,-11,8
292,1,-12,9
293,1,-10,8
294,1,-10,9
295,1,-8,8
296,12,-32,18
297,18,-32,18
298,20,-32,17
299,23,-32,16
300,20,-32,22
301,-32,2,2
302,-32,1,4
303,-32,0,6
304,-32,1,7
305,-32,3,6
306,-32,5,6
307,-32,5,7
308,-32,8,3
309,-32,15,3
310,-32,11,4
311,-32,9,6
312,-32,11,6
313,-32,12,4
314,-32,13,4
315,-32,13,5
316,-32,14,6
317,-32,0,9
318,-32,1,9
319,-32,3,9
320,-32,0,10
321,-32,3,11
322,-32,4,8
323,-32,6,8
324,-32,7,8
325,-32,4,10
326,-32,7,10
327,-32,0,14
328,-32,8,9
329,-32,10,8
330,-32,10,9
331,-32,9,11
332,-32,10,11
333,-32,12,8
334,-32,13,9
335,-32,15,8
336,-32,12,11
337,-32,13,11
338,-32,8,12
339,-32,9,12
340,-32,9,13
341,-32,14,13
342,-32,15,14
343,-24,15,12
344,-1,6,0
345,-1,6,1
346,-1,6,3
347,-1,6,5
348,-1,7,5
349,-3,4,6
350,-4,7,7
351,-1,6,6
352,-1,6,7
353,-5,11,6
354,-3,10,5
355,-4,10,7
356,-5,3,9
357,-5,5,9
358,-5,4,11
359,-4,5,8
360,-1,6,8
361,-4,6,10
362,-4,7,10
363,-4,6,11
364,-5,10,9
365,-4,8,9
366,-1,9,9
367,-4,11,9
368,-3,8,10
369,-1,8,10
370,-3,11,10
371,-6,14,11
372,-1,13,8
373,-2,12,9
374,-2,13,9
375,-4,15,12
376,-32,17,1
377,-32,17,2
378,-32,16,4
379,-32,18,4
380,-32,17,6
381,-32,16,7
382,-32,17,7
383,-32,19,6
384,-32,18,7
385,-32,20,4
386,-32,21,5
387,-32,22,5
388,-32,21,6
389,-32,16,8
390,-32,17,8
391,-32,19,9
392,-32,17,10
393,-32,17,11
394,-32,18,10
395,-32,19,11
396,-32,20,8
397,-32,21,9
398,-32,21,10
399,-32,16,12
400,-32,17,12
401,-32,16,13
402,-32,17,13
403,-32,18,12
404,-32,19,12
405,-32,18,13
406,-32,18,14
407,-32,20,12
408,-32,21,12
409,-32,15,16
410,-32,15,17
411,-32,19,16
412,0,6,2
413,2,5,7
414,0,6,7
415,1,6,7
416,3,6,7
417,0,9,7
418,3,8,6
419,2,9,7
420,3,9,7
421,0,10,7
422,3,11,6
423,4,10,6
424,2,13,6
425,3,13,6
426,0,6,8
427,1,6,8
428,3,7,9
429,2,7,10
430,4,7,8
431,0,9,9
432,1,9,9
433,3,8,9
434,3,9,9
435,0,11,9
436,3,10,8
437,3,10,10
438,4,8,11
439,2,12,8
440,2,13,8
