,end_points,13:18:49,3368
205,-128.0,-5.0,28.5
206,-10.4,128.0,34.8
207,5.6,-128.0,31.7
208,128.0,9.8,33.4
209,-128.0,-6.2,31.1
210,-13.4,128.0,27.4
211,6.0,-128.0,35.2
212,128.0,8.0,26.5
213,-128.0,-6.6,30.6
214,-14.1,128.0,19.3
215,3.3,-128.0,36.0
216,128.0,8.0,13.2
217,-128.0,-6.6,37.2
218,-14.8,128.0,19.0
219,3.6,-128.0,34.3
220,128.0,11.2,17.4
221,-128.0,-8.6,37.9
222,-18.0,128.0,27.2
223,6.0,-128.0,32.0
224,128.0,10.6,23.9
225,-128.0,-8.2,35.4
226,-17.2,128.0,32.3
227,5.4,-128.0,30.1
228,128.0,11.9,24.7
229,-128.0,-9.0,38.2
230,-15.8,128.0,32.9
231,9.6,-128.0,33.1
232,128.0,9.7,45.2
233,-128.0,-6.1,26.9
234,-12.1,128.0,30.8
235,6.9,-128.0,36.3
236,128.0,9.1,45.5
237,-128.0,-5.7,23.5
238,-11.8,128.0,38.0
239,6.7,-128.0,27.7
240,128.0,11.8,37.5
241,-128.0,-7.4,30.1
242,-13.9,128.0,40.4
243,9.8,-128.0,27.7
244,128.0,11.9,41.7
245,-128.0,-7.5,27.5
246,-14.0,128.0,34.0
247,9.9,-128.0,32.3
248,128.0,10.7,36.5
249,-128.0,-6.8,30.8
250,-13.5,128.0,29.1
251,7.9,-128.0,35.8
252,128.0,8.6,26.7
253,-128.0,-5.4,35.4
254,-12.0,128.0,41.6
255,5.1,-128.0,25.2
256,128.0,10.9,27.2
257,-128.0,-6.8,35.0
258,-13.5,128.0,36.7
259,7.9,-128.0,28.6
260,128.0,9.6,29.4
261,-128.0,-6.0,33.6
262,-12.0,128.0,36.2
263,6.9,-128.0,29.0
264,128.0,5.9,28.3
265,-128.0,-3.7,37.6
266,-6.8,128.0,31.3
267,4.9,-128.0,36.0
268,128.0,-0.3,41.6
269,-128.0,-1.4,30.8
270,-0.9,128.0,38.1
271,0.6,-128.0,32.8
272,128.0,-4.4,45.8
273,-128.0,2.8,23.2
274,5.1,128.0,32.9
275,-3.6,-128.0,31.3
276,128.0,-9.9,41.7
277,-128.0,4.6,25.9
278,9.9,128.0,40.9
279,-7.1,-128.0,25.7
280,128.0,-11.3,33.7
281,-128.0,5.6,30.9
282,11.1,128.0,40.1
283,-9.5,-128.0,26.3
284,128.0,-14.1,34.1
285,-128.0,5.7,33.9
286,13.0,128.0,43.3
287,-11.0,-128.0,27.3
288,128.0,-16.7,37.7
289,-128.0,5.8,33.3
290,14.3,128.0,43.3
291,-13.3,-128.0,29.2
292,128.0,-18.5,24.7
293,-128.0,3.6,39.9
294,14.7,128.0,32.6
295,-12.1,-128.0,35.0
296,128.0,-23.9,30.0
297,-128.0,6.9,34.9
298,18.9,128.0,25.0
299,-18.3,-128.0,38.6
300,128.0,-23.8,24.6
301,-128.0,5.2,36.6
302,17.4,128.0,26.8
303,-17.5,-128.0,35.7
304,128.0,-24.4,25.7
305,-128.0,4.1,37.7
306,18.0,128.0,31.4
307,-17.4,-128.0,34.1
308,128.0,-23.7,30.0
309,-128.0,2.3,34.9
310,16.1,128.0,33.5
311,-16.4,-128.0,32.6
312,128.0,-24.8,29.0
313,-128.0,2.2,35.8
314,17.8,128.0,34.1
315,-17.3,-128.0,32.3
316,128.0,-23.8,29.9
317,-128.0,-0.3,36.9
318,16.1,128.0,29.0
319,-14.5,-128.0,37.4
320,128.0,-22.0,36.5
321,-128.0,-2.7,32.1
322,13.3,128.0,33.9
323,-12.5,-128.0,34.1
324,128.0,-19.4,34.7
325,-128.0,-4.1,31.2
326,12.9,128.0,34.5
327,-11.9,-128.0,32.0
328,79.0,-15.8,32.9
329,-128.0,-9.4,33.4
330,7.5,128.0,34.1
331,-6.7,-128.0,32.3
332,62.3,-14.6,35.3
333,-128.0,-12.2,29.7
334,3.5,128.0,29.0
335,-2.3,-128.0,37.3
336,57.7,-14.9,34.8
337,-128.0,-15.4,26.7
338,-1.7,128.0,29.2
339,-0.6,-128.0,35.4
340,50.1,-16.3,31.1
341,-128.0,-19.5,30.5
342,-7.7,128.0,30.3
343,0.1,-128.0,31.4
344,47.7,-16.6,30.1
345,-128.0,-23.7,34.7
346,-12.1,128.0,29.5
347,6.0,-128.0,32.0
348,46.3,-17.3,32.4
349,-128.0,-26.5,30.4
350,-15.1,128.0,26.1
351,8.1,-128.0,35.8
352,42.7,-19.4,32.3
353,-128.0,-28.4,30.7
354,-14.8,128.0,26.2
355,8.1,-128.0,35.8
356,36.1,-19.7,33.3
357,-128.0,-28.2,31.0
358,-12.9,128.0,30.0
359,8.8,-128.0,35.0
360,36.1,-20.5,33.6
361,-128.0,-30.7,29.7
362,-16.0,128.0,33.6
363,10.6,-128.0,32.6
364,35.8,-20.3,33.6
365,-128.0,-31.6,29.4
366,-17.5,128.0,27.2
367,11.4,-128.0,36.7
368,35.6,-21.3,32.1
369,-128.0,-33.1,31.7
370,-18.8,128.0,41.3
371,12.1,-128.0,26.0
372,35.5,-21.4,33.0
373,-128.0,-32.4,33.0
374,-17.3,128.0,44.1
375,11.0,-128.0,25.9
376,35.4,-23.6,30.9
377,-128.0,-33.4,31.8
378,-15.9,128.0,51.4
379,9.7,-128.0,18.5
380,35.3,-24.4,30.1
381,-128.0,-35.3,29.2
382,-17.3,128.0,39.9
383,10.8,-128.0,23.8
384,34.1,-25.3,30.7
385,-128.0,-36.9,25.8
386,10.5,-128.0,28.8
387,35.3,-27.4,31.1
388,-128.0,-38.2,30.6
389,-18.1,128.0,39.4
390,9.7,-128.0,25.8
391,35.7,-30.7,31.3
392,-128.0,-39.7,29.4
393,-14.6,128.0,43.5
394,8.9,-128.0,23.3
395,36.6,-34.0,32.2
396,-128.0,-40.9,24.4
397,-10.9,128.0,23.1
398,6.7,-128.0,35.8
399,34.3,-32.0,33.6
400,-128.0,-38.4,29.6
401,3.1,-128.0,39.1
402,33.2,-33.1,32.2
403,-128.0,-38.7,43.9
404,-0.2,-128.0,21.5
405,34.6,-35.0,27.8
406,-128.0,-41.1,47.4
407,-12.1,128.0,64.8
408,-0.9,-128.0,11.4
409,35.7,-37.8,30.2
410,-128.0,-45.2,41.0
411,-16.1,128.0,50.5
412,1.3,-128.0,21.5
413,35.9,-39.7,31.4
414,-128.0,-47.7,35.3
415,-16.3,128.0,39.8
416,3.2,-128.0,27.4
417,35.0,-42.7,29.6
418,-128.0,-50.9,25.6
419,-16.9,128.0,31.5
420,3.4,-128.0,27.6
421,37.1,-45.3,29.0
422,-128.0,-55.7,22.7
423,6.2,-128.0,34.5
424,37.0,-48.2,28.8
425,-128.0,-59.7,23.9
426,7.2,-128.0,33.6
427,40.7,-50.9,29.9
428,-128.0,-63.3,30.3
429,-21.1,128.0,23.4
430,7.6,-128.0,33.9
431,79.1,-50.9,29.5
432,-128.0,-65.7,34.9
433,-22.0,128.0,28.3
434,8.0,-128.0,32.6
435,128.0,-44.2,21.0
436,-128.0,-66.2,39.7
437,-20.7,128.0,24.1
438,8.3,-128.0,34.8
439,128.0,-45.6,33.7
440,-128.0,-65.3,29.1
441,-15.1,128.0,38.8
442,8.2,-128.0,26.7
443,128.0,-47.9,44.9
444,-128.0,-66.9,22.8
445,-14.2,128.0,45.4
446,8.1,-128.0,24.4
447,128.0,-47.2,47.4
448,-128.0,-69.1,24.4
449,-16.4,128.0,43.2
450,8.9,-128.0,29.0
451,128.0,-49.0,52.4
452,-128.0,-68.4,21.8
453,8.2,-128.0,29.8
454,128.0,-53.9,31.0
455,-128.0,-75.3,31.0
456,8.5,-128.0,13.7
457,128.0,-57.8,29.0
458,-128.0,-82.2,27.3
459,-19.7,128.0,19.9
460,7.2,-128.0,32.2
461,128.0,-46.7,21.8
462,-128.0,-93.6,30.8
463,-33.8,128.0,-3.7
464,17.0,-128.0,43.9
465,128.0,-44.5,18.2
466,-128.0,-98.5,35.0
467,-38.6,128.0,14.5
468,19.9,-128.0,35.5
469,128.0,-47.6,21.5
470,-128.0,-98.1,32.7
471,-36.8,128.0,26.6
472,18.2,-128.0,28.7
473,128.0,-55.4,25.6
474,-128.0,-99.5,33.2
475,14.4,-128.0,28.8
476,128.0,-62.7,29.7
477,-128.0,-92.7,26.7
478,12.1,-128.0,21.6
479,128.0,-72.0,45.7
480,-128.0,-89.3,18.5
481,8.6,-128.0,24.4
482,128.0,-82.8,46.9
483,-128.0,-87.1,16.1
484,-2.6,128.0,43.8
485,4.2,-128.0,24.8
486,53.0,-87.8,30.5
487,-128.0,-89.0,22.3
488,0.4,128.0,25.7
489,2.7,-128.0,30.5
490,37.6,-90.8,31.1
491,-128.0,-92.0,23.4
492,1.7,-128.0,34.8
493,40.9,-93.4,31.5
494,-128.0,-91.0,28.3
495,-0.7,-128.0,36.6
496,43.0,-96.0,33.9
497,-128.0,-89.8,34.5
498,9.1,128.0,21.5
499,-4.2,-128.0,39.7
500,46.2,-99.3,33.7
501,-128.0,-91.7,29.6
502,11.4,128.0,26.3
503,-5.1,-128.0,36.0
504,40.2,-101.3,31.6
505,-128.0,-92.9,33.9
506,10.7,128.0,24.1
507,-6.7,-128.0,35.8
508,40.1,-102.4,30.1
509,-128.0,-93.4,35.6
510,12.0,128.0,26.2
511,-7.0,-128.0,33.2
512,40.0,-104.3,30.3
513,-128.0,-95.9,34.8
514,10.5,128.0,34.7
515,-6.7,-128.0,29.2
516,39.8,-105.8,31.5
517,-128.0,-100.5,34.8
518,7.4,128.0,37.3
519,-4.7,-128.0,29.6
520,39.8,-106.8,33.7
521,-128.0,-101.6,35.4
522,-4.6,-128.0,34.5
523,39.4,-107.8,38.3
524,-128.0,-102.9,36.3
525,-4.2,-128.0,38.7
526,40.4,-109.8,31.4
527,-128.0,-104.4,35.3
528,8.0,128.0,37.5
529,-3.5,-128.0,29.6
530,40.9,-112.9,30.8
531,-128.0,-107.1,19.3
532,8.8,128.0,25.6
533,-3.8,-128.0,30.5
534,41.8,-114.0,29.6
535,-128.0,-108.0,26.1
536,8.5,128.0,25.5
537,-3.8,-128.0,30.6
538,42.3,-115.9,27.3
539,-128.0,-110.4,19.6
540,-4.5,-128.0,27.7
541,44.7,-116.8,26.4
542,-128.0,-112.2,29.9
543,4.5,128.0,26.6
544,-4.8,-128.0,27.2
545,50.2,-118.6,27.2
546,-128.0,-115.6,31.2
547,1.4,128.0,37.2
548,-4.8,-128.0,24.2
549,53.7,-122.8,30.8
550,-128.0,-119.1,45.1
551,-4.0,128.0,33.5
552,-11.1,-128.0,34.2
553,128.0,-122.0,12.4
554,-128.0,-114.8,55.2
555,3.8,128.0,34.9
556,-4.4,-128.0,36.5
557,128.0,-120.4,31.7
558,-128.0,-116.3,40.8
559,-4.3,-128.0,30.8
560,128.0,-117.0,31.4
561,-128.0,-117.0,39.2
562,-4.2,-128.0,22.4
563,128.0,-113.8,28.7
564,-128.0,-119.2,34.4
565,-5.2,128.0,67.3
566,-0.6,-128.0,16.6
567,128.0,-117.7,27.9
568,-128.0,-128.0,26.4
569,-10.8,128.0,59.5
570,5.3,-128.0,15.3
571,128.0,-117.9,51.7
572,-128.0,-128.0,5.9
573,-3.2,-46.5,20.7
574,7.7,-128.0,31.8
575,128.0,-122.9,15.4
576,-128.0,-128.0,25.0
577,10.3,-128.0,51.2
578,128.0,-118.4,26.0
579,-128.0,-128.0,19.1
580,-20.0,128.0,-54.5
581,11.8,-128.0,51.2
582,128.0,-120.2,35.4
583,-128.0,-128.0,17.4
584,-1.9,-8.9,8.5
585,12.1,-128.0,42.0
586,128.0,-125.5,50.4
587,-128.0,-128.0,11.4
588,-9.9,127.7,15.7
589,6.3,-128.0,34.0
590,128.0,-127.7,5.9
591,-128.0,-128.0,49.2
592,0.0,128.0,20.0
593,6.7,-128.0,34.8
594,128.0,-127.7,53.7
595,-128.0,-128.0,17.9
596,-0.9,128.0,85.6
597,4.5,-128.0,12.8
598,128.0,-119.6,32.7
599,-128.0,-128.0,26.3
600,-8.7,128.0,107.9
601,7.5,-128.0,-1.6
602,128.0,-120.0,46.0
603,-128.0,-128.0,16.6
604,-2.1,-6.3,47.4
605,8.1,-128.0,10.4
606,128.0,-113.5,30.1
607,-128.0,-128.0,24.8
608,-16.2,128.0,48.1
609,9.2,-128.0,16.9
610,128.0,-115.0,19.1
611,-128.0,-128.0,36.1
612,-8.4,20.9,30.6
613,9.9,-128.0,27.5
614,128.0,-119.9,22.6
615,-128.0,-128.0,37.0
616,-14.2,128.0,30.2
617,6.9,-128.0,31.4
618,128.0,-128.0,31.8
619,-128.0,-128.0,30.4
620,-10.5,128.0,22.1
621,4.0,-128.0,34.4
622,128.0,-128.0,19.2
623,-128.0,-128.0,34.3
624,-6.3,128.0,15.8
625,2.4,-128.0,32.6
626,128.0,-128.0,20.9
627,-128.0,-128.0,33.0
628,-10.1,128.0,-18.6
629,2.4,-128.0,45.3
630,128.0,-128.0,16.9
631,-128.0,-128.0,35.9
632,-11.9,128.0,-12.4
633,3.9,-128.0,41.4
634,128.0,-128.0,29.5
635,-128.0,-128.0,26.9
636,-10.2,128.0,11.1
637,6.5,-128.0,34.2
638,128.0,-128.0,40.5
639,-128.0,-128.0,26.0
640,6.1,-128.0,33.7
641,128.0,-128.0,43.5
642,-128.0,-128.0,28.9
643,-4.2,21.4,46.2
644,3.4,-128.0,26.1
645,128.0,-128.0,30.9
646,-128.0,-128.0,34.6
647,-8.7,128.0,65.7
648,4.4,-128.0,21.6
649,128.0,-128.0,31.8
650,-128.0,-128.0,30.4
651,-0.6,-7.5,38.6
652,4.6,-128.0,23.5
653,128.0,-128.0,32.6
654,-128.0,-128.0,26.4
655,5.4,-128.0,24.3
656,128.0,-128.0,44.8
657,-128.0,-128.0,17.6
658,1.9,-80.1,27.4
659,5.2,-128.0,32.2
660,128.0,-128.0,38.0
661,-128.0,-128.0,22.4
662,-3.3,128.0,14.0
663,2.7,-128.0,34.8
664,128.0,-128.0,30.1
665,-128.0,-128.0,29.9
666,0.0,128.0,14.0
667,2.7,-128.0,35.6
668,128.0,-128.0,28.7
669,-128.0,-128.0,30.9
670,0.9,128.0,14.1
671,1.0,-128.0,35.1
672,128.0,-128.0,35.7
673,-128.0,-128.0,32.7
674,-1.0,39.4,26.5
675,-1.0,-128.0,38.9
676,128.0,-128.0,24.3
677,-128.0,-128.0,44.6
678,-3.2,128.0,17.1
679,-2.9,-128.0,42.3
680,128.0,-128.0,10.5
681,-128.0,-128.0,54.4
682,1.9,128.0,40.4
683,-4.6,-128.0,34.6
684,128.0,-128.0,7.9
685,-128.0,-128.0,48.1
686,3.2,19.2,38.3
687,-4.3,-128.0,25.3
688,128.0,-128.0,24.2
689,-128.0,-128.0,32.5
690,4.0,88.4,37.7
691,-2.2,-128.0,24.2
692,128.0,-128.0,41.2
693,-128.0,-128.0,16.8
694,3.3,128.0,39.2
695,2.9,-128.0,22.9
696,128.0,-128.0,50.9
697,-128.0,-128.0,4.6
698,1.3,128.0,32.4
699,2.3,-128.0,20.4
700,128.0,-128.0,42.6
701,-128.0,-128.0,12.2
702,-1.6,44.3,16.8
703,2.7,-128.0,30.3
704,128.0,-128.0,32.3
705,-128.0,-128.0,24.8
706,-2.6,128.0,6.6
707,0.8,-128.0,34.8
708,128.0,-128.0,19.6
709,-128.0,-128.0,37.6
710,2.8,128.0,14.7
711,-1.0,-128.0,35.4
712,128.0,-128.0,22.3
713,-128.0,-128.0,37.2
714,1.2,128.0,21.7
715,-1.7,-128.0,33.9
716,128.0,-128.0,23.7
717,-128.0,-128.0,41.5
718,-1.6,35.7,32.5
719,-2.3,-128.0,35.0
720,128.0,-128.0,19.1
721,-128.0,-128.0,41.3
722,-0.3,128.0,42.1
723,-1.3,-128.0,28.1
724,128.0,-128.0,25.4
725,-128.0,-128.0,33.4
726,-1.7,127.6,33.9
727,-0.7,-128.0,28.2
728,128.0,-128.0,28.8
729,-128.0,-128.0,30.9
730,-4.6,128.0,36.9
