,end_points,13:18:49,3368
910,26.3,-34.3,31.3
911,31.6,-128.0,30.7
912,128.0,-128.0,29.4
913,-128.0,-128.0,30.5
914,27.3,-46.2,30.0
915,30.9,-128.0,30.0
916,128.0,-128.0,21.4
917,-128.0,-128.0,37.6
918,29.8,-40.6,31.5
919,30.2,-128.0,28.4
920,128.0,-128.0,15.2
921,-128.0,-128.0,39.5
922,34.1,-47.6,32.5
923,29.6,-128.0,22.8
924,128.0,-128.0,24.0
925,-128.0,-128.0,35.6
926,38.2,-75.7,29.3
927,29.6,-128.0,31.1
928,128.0,-128.0,32.5
929,-128.0,-128.0,33.5
930,41.1,-89.4,33.0
931,31.4,-128.0,33.1
932,128.0,-128.0,28.4
933,-128.0,-128.0,39.3
934,40.2,-99.7,35.8
935,31.6,-128.0,28.8
936,128.0,-128.0,22.9
937,-128.0,-128.0,36.9
938,43.8,-108.2,33.3
939,35.7,-128.0,18.5
940,128.0,-128.0,30.7
941,-128.0,-128.0,27.3
942,47.3,-110.9,30.3
943,40.8,-128.0,24.0
944,128.0,-128.0,32.8
945,-128.0,-128.0,21.2
946,50.4,-112.1,27.9
947,42.6,-128.0,23.2
948,128.0,-128.0,38.6
949,-128.0,-128.0,14.9
950,53.0,-112.7,26.3
951,47.4,-128.0,30.3
952,128.0,-128.0,39.5
953,-128.0,-128.0,16.2
954,54.5,-112.1,26.8
955,51.5,-128.0,33.4
956,128.0,-128.0,34.4
957,-128.0,-128.0,25.4
958,56.3,-110.1,28.6
959,54.9,-128.0,35.9
960,128.0,-128.0,31.0
961,-128.0,-128.0,31.0
962,58.1,-105.9,30.0
963,57.7,-128.0,34.8
964,128.0,-128.0,34.5
965,-128.0,-128.0,29.3
966,60.0,-103.8,31.9
967,60.0,-128.0,32.2
968,128.0,-128.0,29.1
969,-128.0,-128.0,26.8
970,57.9,-109.7,28.5
971,62.8,-128.0,26.4
972,128.0,-128.0,21.3
973,-128.0,-128.0,37.6
974,59.0,-103.0,22.0
975,71.7,-128.0,51.8
976,128.0,-128.0,18.1
977,-128.0,-128.0,41.1
978,59.2,-101.6,28.0
979,79.7,-128.0,32.3
980,128.0,-124.9,25.5
981,-128.0,-128.0,33.3
982,60.1,-100.3,28.9
983,85.1,-128.0,29.2
984,128.0,-123.0,27.6
985,-128.0,-128.0,30.6
986,61.2,-96.7,29.0
987,89.1,-128.0,29.1
988,128.0,-120.4,31.5
989,-128.0,-128.0,24.3
990,63.2,-94.0,27.1
991,94.0,-128.0,30.8
992,128.0,-119.8,33.1
993,-128.0,-128.0,22.5
994,65.1,-88.9,26.4
995,95.6,-128.0,32.4
996,128.0,-123.1,33.7
997,-128.0,-128.0,21.7
998,66.0,-84.5,27.0
999,95.6,-128.0,30.8
1000,128.0,-123.9,32.4
1001,-128.0,-128.0,24.8
1002,66.0,-63.0,29.0
1003,97.2,-128.0,29.1
1004,128.0,-126.4,31.6
1005,-128.0,-128.0,25.9
1006,66.0,-45.8,29.0
1007,96.9,-128.0,29.1
1008,128.0,-127.5,31.2
1009,-128.0,-128.0,26.3
1010,68.8,-43.4,29.9
1011,97.1,-128.0,27.3
1012,128.0,-128.0,30.5
1013,-128.0,-128.0,27.1
1014,71.1,-41.3,30.4
1015,96.2,-128.0,26.4
1016,128.0,-128.0,30.8
1017,-128.0,-128.0,26.7
1018,73.7,-39.4,31.1
1019,97.1,-128.0,25.1
1020,128.0,-128.0,34.9
1021,-128.0,-128.0,21.9
1022,74.3,-42.6,30.1
1023,93.7,-128.0,26.9
1024,128.0,-128.0,25.8
1025,-128.0,-128.0,35.3
1026,77.3,-43.8,31.4
1027,94.1,-128.0,27.2
1028,128.0,-128.0,24.5
1029,-128.0,-128.0,37.1
1030,80.0,-50.0,30.9
1031,92.4,-128.0,28.1
1032,128.0,-128.0,27.7
1033,-128.0,-128.0,35.2
1034,77.8,128.0,30.9
1035,89.9,-128.0,31.0
1036,128.0,-128.0,30.0
1037,-128.0,-128.0,32.3
1038,84.0,128.0,31.0
1039,88.9,-128.0,31.0
1040,128.0,-128.0,32.5
1041,-128.0,-128.0,31.4
1042,86.9,128.0,30.5
1043,90.3,-128.0,32.9
1044,128.0,-128.0,36.4
1045,-128.0,-128.0,23.7
1046,91.2,128.0,30.2
1047,87.6,-128.0,31.5
1048,128.0,-128.0,30.2
1049,-128.0,-128.0,25.0
1050,92.8,83.0,34.9
1051,91.3,-128.0,21.8
1052,128.0,-128.0,43.8
1053,-128.0,-128.0,6.2
1054,83.5,128.0,0.4
1055,99.9,-128.0,48.0
1056,128.0,-128.0,36.3
1057,-128.0,-128.0,21.1
1058,87.3,-30.9,25.1
1059,103.6,-128.0,39.2
1060,128.0,-128.0,31.1
1061,-128.0,-128.0,33.2
1062,81.5,128.0,50.3
1063,103.4,-128.0,18.2
1064,128.0,-128.0,33.2
1065,-128.0,-128.0,30.4
1066,84.7,128.0,84.7
1067,97.3,-128.0,4.7
1068,128.0,-128.0,22.5
1069,-128.0,-128.0,40.5
1070,90.4,36.1,50.0
1071,93.3,-128.0,13.6
1072,128.0,-128.0,22.0
1073,-128.0,-128.0,39.0
1074,88.8,24.9,29.2
1075,91.5,-128.0,28.8
1076,128.0,-128.0,15.9
1077,-128.0,-128.0,47.3
1078,88.3,128.0,19.3
1079,99.3,-128.0,35.2
1080,128.0,-128.0,32.3
1081,-128.0,-128.0,26.9
1082,88.5,128.0,13.3
1083,103.2,-128.0,39.2
1084,128.0,-128.0,43.0
1085,-128.0,-128.0,16.1
1086,96.1,0.0,28.9
1087,103.2,-128.0,36.5
1088,128.0,-128.0,41.5
1089,-128.0,-128.0,28.0
1090,94.9,128.0,35.3
1091,101.5,-128.0,36.4
1092,128.0,-128.0,42.0
1093,-128.0,-128.0,29.9
1094,98.3,128.0,44.0
1095,101.1,-128.0,32.6
1096,128.0,-128.0,33.9
1097,-128.0,-128.0,31.7
1098,100.2,128.0,41.2
1099,103.2,-128.0,27.5
1100,128.0,-128.0,51.2
1101,-128.0,-128.0,1.2
1102,90.1,128.0,34.0
1103,106.1,-128.0,29.2
1104,128.0,-128.0,41.4
1105,-128.0,-128.0,10.7
1106,79.1,128.0,12.0
1107,110.7,-128.0,39.0
1108,128.0,-128.0,20.5
1109,-128.0,-128.0,38.8
1110,79.7,108.6,29.3
1111,115.5,-128.0,26.9
1112,128.0,-128.0,18.1
1113,-128.0,-128.0,39.5
1114,82.0,58.9,25.9
1115,116.8,-128.0,28.1
1116,128.0,-128.0,20.7
1117,-128.0,-128.0,38.0
1118,80.3,103.6,24.7
1119,115.1,-128.0,30.8
1120,128.0,-128.0,25.3
1121,-128.0,-128.0,34.0
1122,88.8,41.2,24.7
1123,112.7,-128.0,33.9
1124,128.0,-128.0,28.7
1125,-128.0,-128.0,27.0
1126,89.9,128.0,19.5
1127,111.3,-128.0,34.6
1128,128.0,-128.0,36.6
1129,-128.0,-128.0,20.4
1130,96.5,-43.9,28.2
1131,107.1,-128.0,33.6
1132,128.0,-128.0,32.1
1133,-128.0,-128.0,29.4
1134,89.7,128.0,32.5
1135,105.7,-128.0,30.2
1136,128.0,-128.0,28.0
1137,-128.0,-128.0,35.2
1138,92.6,128.0,35.1
1139,103.8,-128.0,28.9
1140,128.0,-128.0,30.3
1141,-128.0,-128.0,31.9
1142,97.1,23.3,32.0
1143,103.5,-128.0,29.8
1144,128.0,-128.0,26.5
1145,-128.0,-128.0,35.0
1146,94.3,128.0,31.8
1147,108.5,-128.0,28.9
1148,128.0,-128.0,38.0
1149,-128.0,-128.0,16.4
1150,92.0,128.0,27.9
1151,110.8,-128.0,29.6
1152,128.0,-128.0,34.2
1153,-128.0,-128.0,19.0
1154,84.5,128.0,31.3
1155,110.6,-128.0,26.1
1156,128.0,-128.0,28.1
1157,-128.0,-128.0,35.1
1158,76.3,128.0,4.0
1159,114.2,-128.0,45.5
1160,128.0,-128.0,27.1
1161,-128.0,-128.0,44.1
1162,89.1,38.1,34.8
1163,112.5,-128.0,33.0
1164,128.0,-128.0,24.7
1165,-128.0,-128.0,44.4
1166,85.3,128.0,43.9
1167,109.0,-128.0,26.3
1168,128.0,-128.0,29.1
1169,-128.0,-128.0,33.7
1170,91.2,128.0,39.5
1171,103.7,-128.0,25.9
1172,128.0,-128.0,24.9
1173,-128.0,-128.0,35.0
1174,98.3,-11.6,33.7
1175,105.1,-128.0,21.9
1176,128.0,-128.0,36.1
1177,-128.0,-128.0,16.6
1178,87.1,128.0,42.9
1179,109.1,-128.0,19.3
1180,128.0,-128.0,37.2
1181,-128.0,-128.0,15.1
1182,80.3,128.0,24.0
1183,114.5,-128.0,30.3
1184,128.0,-128.0,37.6
1185,-128.0,-128.0,19.0
1186,87.3,54.8,26.3
1187,113.7,-128.0,34.0
1188,128.0,-128.0,26.4
1189,-128.0,-128.0,32.8
1190,92.3,18.8,23.8
1191,110.1,-128.0,35.8
1192,128.0,-128.0,26.1
1193,-128.0,-128.0,37.6
1194,87.5,74.5,31.7
1195,102.3,-128.0,30.3
1196,128.0,-128.0,10.1
1197,-128.0,-128.0,58.0
1198,90.8,128.0,28.1
1199,95.7,-128.0,31.1
1200,128.0,-128.0,10.8
1201,-128.0,-128.0,53.5
1202,95.2,128.0,13.4
1203,96.5,-128.0,38.7
1204,128.0,-128.0,25.5
1205,-128.0,-128.0,37.5
1206,94.6,128.0,5.6
1207,95.3,-128.0,48.0
1208,128.0,-128.0,29.8
1209,-128.0,-128.0,35.1
1210,98.5,109.9,39.4
1211,93.9,-128.0,25.9
1212,128.0,-128.0,34.0
1213,-128.0,-128.0,31.6
1214,104.3,128.0,44.8
1215,93.0,-128.0,26.6
1216,128.0,-128.0,44.5
1217,-128.0,-128.0,16.8
1218,107.2,128.0,33.9
1219,92.2,-128.0,32.4
1220,128.0,-128.0,33.5
1221,-128.0,-128.0,34.7
1222,110.1,128.0,44.8
1223,89.3,-128.0,27.6
1224,128.0,-128.0,27.6
1225,-128.0,-127.5,43.5
1226,114.2,128.0,54.0
1227,86.1,-128.0,21.3
1228,128.0,-128.0,20.9
1229,-128.0,-128.0,43.5
1230,107.9,128.0,38.1
1231,84.9,-128.0,24.7
1232,128.0,-128.0,10.8
1233,-128.0,-128.0,50.6
1234,107.4,-10.8,16.9
1235,98.8,-128.0,42.3
1236,128.0,-128.0,56.8
1237,-128.0,-128.0,-17.8
1238,107.8,128.0,47.3
1239,108.1,-128.0,14.1
1240,128.0,-128.0,53.2
1241,-128.0,-128.0,-10.4
1242,107.3,128.0,49.3
1243,106.8,-128.0,15.0
1244,128.0,-128.0,39.8
1245,-128.0,-128.0,12.6
1246,105.0,49.8,41.4
1247,105.0,-128.0,14.3
1248,128.0,-128.0,28.0
1249,-128.0,-128.0,32.9
1250,104.0,70.2,34.8
1251,102.1,-128.0,25.5
1252,128.0,-128.0,22.1
1253,-128.0,-128.0,41.8
1254,105.2,128.0,27.1
1255,98.2,-128.0,32.0
1256,128.0,-128.0,27.3
1257,-128.0,-128.0,41.1
1258,96.7,128.0,21.9
1259,95.6,-128.0,40.0
1260,128.0,-128.0,2.9
1261,-128.0,-128.0,73.9
1262,96.3,-34.7,27.4
1263,95.3,-128.0,40.9
1264,128.0,-128.0,9.0
1265,-128.0,-128.0,60.1
1266,95.8,128.0,15.0
1267,96.2,-128.0,42.8
1268,128.0,-128.0,17.0
1269,-128.0,-128.0,48.3
1270,94.7,128.0,18.9
1271,102.3,-128.0,40.1
1272,128.0,-128.0,29.6
1273,-128.0,-128.0,28.3
1274,101.6,12.2,25.9
1275,102.5,-128.0,33.2
1276,128.0,-128.0,43.5
1277,-128.0,-128.0,11.0
1278,100.8,128.0,22.8
1279,101.2,-128.0,35.1
1280,128.0,-128.0,36.8
1281,-128.0,-128.0,22.6
1282,103.6,128.0,11.1
1283,99.4,-128.0,43.4
1284,128.0,-128.0,31.8
1285,-128.0,-128.0,24.9
1286,108.5,128.0,8.1
1287,95.5,-128.0,44.5
1288,128.0,-128.0,29.1
1289,-128.0,-128.0,28.8
1290,108.2,44.5,20.8
1291,97.0,-128.0,38.5
1292,128.0,-128.0,38.8
1293,-128.0,-128.0,17.0
1294,109.4,91.2,23.9
1295,97.0,-128.0,35.7
1296,128.0,-128.0,36.3
1297,-128.0,-128.0,18.1
1298,108.9,40.9,28.0
1299,98.0,-128.0,30.2
1300,128.0,-128.0,33.4
1301,-128.0,-128.0,17.5
1302,113.6,128.0,23.9
1303,100.3,-128.0,29.3
1304,128.0,-128.0,33.9
1305,-128.0,-128.0,16.7
1306,110.6,128.0,36.4
1307,102.9,-128.0,20.7
1308,128.0,-128.0,34.5
1309,-128.0,-128.0,15.6
1310,110.9,128.0,22.9
1311,102.8,-128.0,29.7
1312,128.0,-128.0,36.4
1313,-128.0,-128.0,17.8
1314,109.5,128.0,35.6
1315,100.0,-128.0,24.2
1316,128.0,-128.0,30.0
1317,-128.0,-125.1,30.1
1318,112.8,128.0,28.6
1319,94.7,-128.0,31.0
1320,128.0,-128.0,28.4
1321,-128.0,-120.8,35.0
1322,113.9,128.0,26.6
1323,89.3,-128.0,33.9
1324,128.0,-128.0,17.7
1325,-128.0,-117.2,57.1
1326,112.3,128.0,15.6
1327,84.5,-128.0,45.1
1328,128.0,-128.0,9.9
1329,-128.0,-121.0,68.3
1330,106.4,128.0,25.2
1331,83.1,-128.0,39.5
1332,128.0,-128.0,1.9
1333,-128.0,-114.7,72.2
1334,110.1,128.0,13.3
1335,89.8,-128.0,43.0
1336,128.0,-128.0,39.9
1337,-128.0,-121.2,18.7
1338,104.3,128.0,37.8
1339,91.9,-128.0,26.3
1340,128.0,-128.0,39.0
1341,-128.0,-119.9,21.9
1342,102.6,128.0,39.1
1343,93.2,-128.0,27.2
1344,128.0,-125.4,36.8
1345,-128.0,-119.5,27.5
1346,100.7,128.0,35.2
1347,94.4,-128.0,31.4
1348,128.0,-125.3,31.8
1349,-128.0,-119.8,27.3
1350,101.1,128.0,37.5
1351,94.5,-128.0,25.5
1352,128.0,-124.7,24.9
1353,-128.0,-123.0,30.1
1354,97.1,128.0,8.6
1355,95.3,-128.0,38.3
1356,128.0,-115.6,18.4
1357,-128.0,-124.1,39.7
1358,94.0,128.0,-12.6
1359,106.2,-128.0,56.2
1360,128.0,-109.5,29.6
1361,-128.0,-120.5,20.7
1362,96.1,128.0,28.8
1363,109.3,-128.0,24.1
1364,128.0,-109.0,44.1
1365,47.2,-112.8,20.0
1366,95.2,128.0,49.4
1367,108.0,-128.0,9.2
1368,128.0,-108.0,40.0
1369,55.9,-110.4,24.1
1370,96.9,128.0,53.9
1371,105.6,-128.0,7.9
1372,128.0,-110.2,32.1
1373,53.5,-110.0,30.8
1374,98.2,128.0,42.5
1375,97.8,-128.0,21.6
1376,128.0,-112.8,18.8
1377,54.4,-108.2,33.5
1378,104.4,128.0,33.8
1379,93.3,-128.0,28.9
1380,128.0,-114.0,25.1
1381,54.4,-106.8,32.2
1382,106.9,128.0,22.6
1383,90.0,-128.0,36.9
1384,128.0,-111.7,21.2
1385,54.2,-104.9,34.1
1386,105.2,128.0,20.9
1387,89.6,-128.0,39.7
1388,128.0,-109.5,24.7
1389,56.3,-105.3,32.2
1390,103.7,128.0,18.3
1391,94.1,-128.0,39.7
1392,128.0,-104.2,33.7
1393,59.6,-104.0,25.7
1394,102.6,128.0,19.6
1395,101.5,-128.0,32.3
1396,128.0,-99.5,46.8
1397,57.0,-103.7,26.6
1398,94.7,128.0,20.9
1399,103.8,-128.0,36.6
1400,128.0,-100.9,28.9
1401,56.2,-101.0,30.2
1402,99.8,128.0,21.1
1403,100.1,-128.0,36.3
1404,128.0,-102.1,32.8
1405,55.1,-98.4,31.8
1406,103.7,128.0,25.7
1407,94.0,-128.0,36.4
1408,128.0,-103.1,24.6
1409,55.7,-95.8,33.5
1410,107.0,128.0,22.9
1411,89.5,-128.0,38.8
1412,128.0,-101.3,21.7
1413,57.6,-93.8,31.6
1414,109.3,128.0,23.7
1415,90.3,-128.0,34.2
1416,128.0,-96.3,25.7
1417,59.0,-90.0,30.8
1418,107.3,128.0,18.7
1419,92.4,-128.0,38.9
1420,128.0,-93.7,41.2
1421,63.3,-85.8,27.9
1422,113.7,128.0,39.4
1423,93.7,-128.0,23.4
1424,128.0,-91.8,43.9
1425,61.4,-87.3,26.3
1426,105.4,128.0,41.4
1427,95.7,-128.0,19.2
1428,128.0,-86.8,39.1
1429,58.7,-87.0,30.7
1430,96.7,128.0,30.9
1431,97.2,-128.0,32.9
1432,128.0,-84.1,21.9
1433,58.9,-84.0,33.8
1434,96.2,128.0,11.8
1435,97.6,-128.0,47.2
1436,128.0,-81.0,20.6
1437,59.5,-79.8,31.7
1438,98.5,128.0,24.2
1439,95.9,-128.0,34.2
1440,128.0,-76.8,22.6
1441,59.1,-77.0,30.1
1442,97.0,128.0,39.4
1443,97.0,-128.0,21.1
1444,128.0,-77.7,25.7
1445,57.5,-75.7,29.6
1446,100.3,128.0,44.8
1447,94.7,-128.0,18.0
1448,128.0,-79.0,27.8
1449,-14.5,-72.9,29.6
1450,103.8,128.0,33.1
1451,92.0,-128.0,25.9
1452,128.0,-80.3,27.5
1453,-128.0,-65.2,31.1
1454,107.7,128.0,20.3
1455,89.2,-128.0,35.4
1456,128.0,-81.3,27.0
1457,-128.0,-61.1,31.9
1458,111.5,128.0,7.3
1459,86.6,-128.0,44.6
1460,128.0,-82.5,29.2
1461,-128.0,-56.9,28.8
1462,116.4,128.0,2.8
1463,84.1,-128.0,46.4
1464,128.0,-80.5,26.5
1465,-128.0,-52.4,32.6
1466,118.1,128.0,10.6
1467,83.5,-128.0,42.3
1468,128.0,-78.1,28.4
1469,-128.0,-49.2,27.5
1470,119.1,128.0,18.4
1471,83.8,-128.0,35.2
1472,128.0,-79.6,25.9
1473,-128.0,-44.0,26.2
1474,126.8,128.0,32.9
1475,82.0,-128.0,20.9
1476,128.0,-74.6,35.1
1477,-128.0,-43.7,12.9
1478,124.1,128.0,29.5
1479,85.3,-128.0,23.4
1480,128.0,-71.4,42.0
1481,-128.0,-43.2,9.8
1482,119.1,128.0,31.6
1483,83.6,-128.0,27.0
1484,128.0,-64.4,27.6
1485,-128.0,-45.8,33.6
1486,115.9,128.0,18.9
1487,92.7,-128.0,38.9
1488,128.0,-60.0,38.2
1489,-128.0,-42.4,20.1
1490,114.2,128.0,42.2
1491,92.2,-128.0,21.9
1492,128.0,-56.6,31.7
1493,-128.0,-40.2,32.5
1494,111.7,128.0,37.3
1495,90.3,-128.0,27.6
1496,128.0,-54.5,30.4
1497,33.2,-44.3,31.2
1498,117.1,128.0,47.3
1499,90.1,-128.0,18.2
1500,128.0,-52.0,34.5
1501,58.6,-43.3,28.9
1502,117.7,128.0,44.5
1503,92.8,-128.0,18.1
1504,128.0,-49.3,37.2
1505,63.3,-41.4,25.6
1506,119.0,128.0,39.2
1507,95.3,-128.0,18.8
1508,128.0,-45.0,41.5
1509,67.3,-37.5,23.4
1510,120.4,128.0,50.7
1511,99.6,-128.0,7.5
1512,128.0,-41.4,49.9
1513,61.6,-37.2,24.1
1514,108.7,128.0,46.0
1515,100.0,-128.0,14.5
1516,128.0,-37.8,33.7
1517,59.3,-38.0,30.4
1518,101.6,128.0,38.9
1519,102.4,-128.0,24.4
1520,128.0,-34.0,15.9
1521,60.4,-37.6,34.0
1522,95.2,128.0,24.0
1523,105.9,-128.0,36.9
1524,128.0,-32.0,10.1
1525,59.4,-35.6,34.9
1526,92.6,128.0,21.0
1527,104.2,-128.0,39.1
1528,128.0,-29.2,7.1
1529,61.5,-34.9,34.1
1530,91.5,128.0,25.6
1531,107.6,-128.0,34.0
1532,128.0,-26.0,21.8
1533,63.6,-33.1,29.1
1534,91.8,128.0,22.2
1535,111.0,-128.0,33.1
1536,128.0,-21.7,30.1
1537,62.5,-30.3,28.8
1538,88.9,128.0,20.1
1539,111.6,-128.0,36.8
1540,128.0,-20.7,34.4
1541,62.2,-28.1,28.0
1542,90.6,128.0,40.0
1543,110.5,-128.0,18.9
1544,128.0,-20.8,32.1
1545,62.5,-25.8,29.6
1546,95.8,128.0,44.0
1547,109.4,-128.0,17.6
1548,128.0,-22.8,37.3
1549,61.5,-25.4,27.5
1550,98.3,128.0,46.5
1551,105.7,-128.0,11.8
1552,128.0,-20.4,35.3
1553,61.5,-23.5,27.8
1554,98.5,128.0,35.7
1555,106.8,-128.0,23.4
1556,128.0,-22.3,32.4
1557,64.0,-24.3,27.2
1558,102.5,128.0,20.0
1559,107.4,-128.0,35.8
1560,128.0,-19.4,38.4
1561,63.5,-21.3,26.0
1562,102.4,128.0,24.0
1563,107.2,-128.0,31.4
1564,128.0,-19.0,41.4
1565,62.4,-20.2,25.4
1566,102.0,128.0,34.5
1567,105.8,-128.0,22.4
1568,128.0,-18.2,37.0
1569,60.2,-20.3,28.7
1570,97.8,128.0,36.4
1571,103.7,-128.0,24.5
1572,128.0,-17.8,16.4
1573,58.7,-19.2,34.9
1574,96.5,128.0,25.9
1575,101.3,-128.0,37.6
1576,128.0,-20.2,16.5
1577,57.5,-18.8,33.7
1578,99.0,128.0,16.4
1579,97.1,-128.0,44.3
1580,128.0,-20.0,16.6
1581,53.5,-15.2,32.7
1582,103.0,128.0,7.3
1583,93.4,-128.0,50.9
1584,128.0,-16.5,22.1
1585,42.7,-13.4,30.8
1586,102.7,128.0,27.9
1587,95.4,-128.0,30.1
1588,128.0,-14.4,36.1
1589,-15.3,-10.7,25.3
1590,102.4,128.0,43.8
1591,95.8,-128.0,15.1
1592,128.0,-11.3,33.5
1593,-128.0,-10.5,25.3
1594,99.3,128.0,44.2
1595,98.7,-128.0,16.3
1596,128.0,-9.6,33.4
1597,-128.0,-5.8,25.5
1598,101.5,128.0,44.6
1599,96.8,-128.0,17.3
1600,128.0,-6.0,28.6
1601,-128.0,-6.0,31.9
1602,99.1,128.0,45.1
1603,98.9,-128.0,16.5
1604,128.0,-5.4,25.2
1605,-128.0,-4.4,36.6
1606,98.1,128.0,49.9
1607,96.0,-128.0,10.9
1608,128.0,-9.4,19.0
1609,-128.0,-3.7,42.5
1610,102.0,128.0,33.2
1611,94.2,-128.0,25.0
1612,128.0,-5.3,19.9
1613,-128.0,-4.5,41.3
1614,103.9,128.0,13.9
1615,104.1,-128.0,43.6
1616,128.0,-2.3,53.8
1617,-128.0,-6.4,-2.2
1618,102.2,128.0,30.2
1619,107.6,-128.0,29.8
1620,128.0,-3.8,53.5
1621,-128.0,-6.7,-4.4
1622,101.6,128.0,34.3
1623,106.4,-128.0,23.7
1624,128.0,-2.1,36.4
1625,-128.0,-8.9,26.0
1626,94.9,128.0,12.3
1627,102.9,-128.0,50.9
1628,128.0,1.4,17.4
1629,-128.0,-6.7,49.5
1630,94.3,128.0,39.7
1631,103.8,-128.0,22.3
1632,128.0,-1.1,19.3
1633,-128.0,-8.0,39.9
1634,97.2,128.0,39.6
1635,104.9,-128.0,15.9
1636,128.0,3.5,29.1
1637,-128.0,-11.8,21.8
1638,90.6,128.0,21.1
1639,110.7,-128.0,30.6
1640,128.0,9.2,32.9
1641,-128.0,-19.5,21.3
1642,80.4,128.0,15.0
1643,116.3,-128.0,40.1
1644,128.0,7.6,23.0
1645,-128.0,-17.5,34.9
1646,85.3,128.0,36.2
1647,117.2,-128.0,19.5
1648,128.0,5.7,25.1
1649,-128.0,-10.1,31.9
1650,93.8,128.0,29.3
1651,114.1,-128.0,26.8
1652,128.0,3.0,34.2
1653,-128.0,-11.1,19.6
1654,95.3,128.0,31.5
1655,113.4,-128.0,24.2
1656,128.0,0.3,35.2
1657,-128.0,-7.6,17.9
1658,99.9,128.0,25.5
1659,109.6,-128.0,30.2
1660,128.0,-0.2,39.7
1661,-128.0,-2.2,11.6
1662,103.7,128.0,27.6
1663,106.3,-128.0,28.4
1664,128.0,-3.3,41.2
1665,-128.0,2.1,14.6
1666,106.8,128.0,47.5
1667,101.4,-128.0,13.8
1668,128.0,-6.1,29.0
1669,-128.0,6.2,36.3
1670,109.1,128.0,37.5
1671,93.5,-128.0,26.9
1672,128.0,-9.2,12.6
1673,-128.0,12.8,61.4
1674,115.5,128.0,37.3
1675,85.4,-128.0,29.0
1676,128.0,-10.6,15.5
1677,-128.0,14.8,52.6
1678,119.9,128.0,30.6
1679,86.8,-128.0,31.4
1680,128.0,-6.0,23.3
1681,-128.0,8.4,34.6
1682,111.3,128.0,26.8
1683,92.6,-128.0,29.2
1684,128.0,2.4,28.2
1685,-128.0,-3.4,22.9
1686,99.1,128.0,23.1
1687,106.7,-128.0,28.8
1688,128.0,10.7,35.5
1689,-128.0,-7.9,15.0
1690,91.2,128.0,15.5
1691,114.4,-128.0,38.1
1692,128.0,7.0,47.8
1693,-128.0,-9.8,4.8
1694,94.1,128.0,41.4
1695,118.0,-128.0,18.5
1696,128.0,4.4,43.4
1697,-128.0,-6.3,13.4
1698,101.4,128.0,34.8
1699,115.7,-128.0,27.7
1700,128.0,1.6,45.7
1701,-128.0,-4.6,7.7
1702,104.8,128.0,32.1
1703,113.0,-128.0,28.0
1704,128.0,0.8,45.7
1705,-128.0,1.3,7.8
1706,110.7,128.0,24.7
1707,109.3,-128.0,35.3
1708,128.0,-1.5,44.6
1709,-128.0,4.6,6.5
1710,111.0,128.0,44.5
1711,105.1,-128.0,14.2
1712,128.0,-3.0,39.8
1713,-128.0,-0.5,18.3
1714,102.3,128.0,40.4
1715,99.8,-128.0,22.2
1716,128.0,-3.9,14.6
1717,-128.0,-4.1,59.1
1718,100.1,128.0,24.0
1719,101.9,-128.0,41.7
1720,128.0,-6.4,8.4
1721,-128.0,1.7,69.5
1722,98.7,128.0,3.6
1723,95.3,-128.0,64.2
1724,128.0,-1.1,0.2
1725,-128.0,3.8,74.7
1726,98.8,128.0,22.3
1727,95.1,-128.0,42.3
1728,128.0,0.0,13.3
1729,-128.0,-0.0,52.8
1730,100.8,128.0,53.2
1731,97.3,-128.0,7.4
1732,128.0,2.3,31.0
1733,-128.0,-3.2,23.9
1734,97.1,128.0,43.7
1735,104.4,-128.0,14.1
1736,128.0,3.9,45.1
1737,-128.0,-7.6,4.8
1738,96.8,128.0,27.2
1739,110.7,-128.0,28.7
1740,128.0,1.3,51.8
1741,-128.0,-6.4,-1.8
1742,100.2,128.0,17.5
1743,107.8,-128.0,40.5
1744,128.0,-4.2,47.5
1745,-128.0,-3.7,6.0
1746,102.3,128.0,18.6
1747,99.7,-128.0,42.1
1748,128.0,-8.9,32.7
1749,-128.0,2.7,28.7
1750,106.8,128.0,13.6
1751,91.2,-128.0,48.4
1752,128.0,-8.4,18.7
1753,-128.0,9.4,50.6
1754,107.1,128.0,12.2
1755,85.8,-128.0,50.1
1756,128.0,-9.0,7.1
1757,-128.0,10.1,61.8
1758,111.7,128.0,35.3
1759,84.9,-128.0,25.0
1760,128.0,-7.1,18.3
1761,-128.0,9.6,38.8
1762,110.1,128.0,40.1
1763,86.5,-128.0,14.5
1764,128.0,0.7,28.0
1765,-128.0,6.1,28.0
1766,97.8,128.0,48.4
1767,90.7,-128.0,10.4
1768,128.0,5.6,17.2
1769,-128.0,4.2,44.8
1770,94.6,128.0,59.0
1771,93.5,-128.0,3.0
1772,128.0,-3.4,20.3
1773,-128.0,4.6,45.3
1774,106.5,128.0,50.4
1775,94.6,-128.0,15.0
1776,128.0,-8.9,37.8
1777,-128.0,2.6,24.2
1778,107.1,128.0,25.3
1779,92.7,-128.0,37.2
1780,128.0,-6.7,46.5
1781,-128.0,-0.3,12.1
1782,107.6,128.0,-2.4
1783,94.8,-128.0,64.6
1784,128.0,-6.5,51.6
1785,-128.0,-0.6,2.2
1786,108.4,128.0,3.7
1787,95.4,-128.0,58.9
1788,128.0,-4.5,54.5
1789,-128.0,1.5,-4.2
1790,106.6,128.0,17.0
1791,95.9,-128.0,41.8
