,free_node_coor_list,14:34:48,16837
0,-15,-32,-1
1,-16,-31,-1
2,-32,-8,-4
3,-31,-8,-3
4,-30,-8,-3
5,-29,-8,-3
6,-28,-8,-3
7,-27,-7,-3
8,-26,-7,-3
9,-25,-7,-2
10,-31,-4,-2
11,-31,-4,-1
12,-31,-3,-1
13,-30,-4,-2
14,-29,-3,-2
15,-30,-3,-1
16,-29,-3,-1
17,-28,-3,-2
18,-27,-3,-2
19,-28,-3,-1
20,-27,-3,-1
21,-26,-3,-2
22,-25,-3,-2
23,-26,-3,-1
24,-25,-3,-1
25,-24,-7,-2
26,-23,-7,-2
27,-22,-6,-2
28,-21,-6,-2
29,-20,-6,-2
30,-19,-6,-1
31,-18,-6,-1
32,-17,-6,-1
33,-24,-3,-2
34,-23,-3,-2
35,-24,-3,-1
36,-23,-3,-1
37,-22,-3,-2
38,-22,-3,-1
39,-24,-2,-1
40,-23,-2,-1
41,-22,-2,-1
42,-21,-2,-1
43,-20,-2,-1
44,-19,-2,-1
45,-18,-2,-1
46,-17,-2,-1
47,-16,-5,-1
48,-15,-5,-1
49,-14,-5,-1
50,-16,-2,-1
51,-15,-1,-1
52,-14,-2,-1
53,-13,-2,-1
54,-14,-1,-1
55,-13,-1,-1
56,-12,-2,-1
57,-12,-1,-1
58,-11,-1,-1
59,-10,-2,-1
60,-9,-2,-1
61,-10,-1,-1
62,-9,-1,-1
63,-1,-6,-1
64,-1,-5,-1
65,-8,-2,-1
66,-7,-2,-1
67,-8,-1,-1
68,-7,-1,-1
69,-6,-1,-1
70,-5,-1,-1
71,-1,-4,-1
72,-1,-3,-1
73,-4,-1,-1
74,-3,-1,-1
75,-1,-2,-1
76,-2,-1,-1
77,-1,-1,-1
78,27,-31,-14
79,27,-30,-14
80,26,-29,-13
81,26,-28,-12
82,26,-27,-12
83,25,-25,-11
84,26,-26,-11
85,25,-24,-10
86,25,-23,-9
87,25,-22,-9
88,20,-31,-1
89,24,-21,-8
90,24,-20,-8
91,24,-19,-7
92,24,-18,-7
93,24,-17,-6
94,12,-15,-1
95,13,-15,-1
96,14,-15,-1
97,15,-15,-1
98,0,-6,-1
99,0,-5,-1
100,0,-4,-1
101,0,-3,-1
102,0,-2,-1
103,0,-1,-1
104,1,-1,-1
105,2,-1,-1
106,3,-1,-1
107,4,-1,-1
108,5,-1,-1
109,23,-16,-5
110,23,-15,-5
111,17,-15,-2
112,16,-15,-1
113,18,-15,-2
114,19,-14,-2
115,21,-14,-3
116,23,-14,-4
117,23,-13,-4
118,22,-14,-3
119,23,-14,-3
120,20,-14,-2
121,22,-12,-3
122,22,-11,-3
123,22,-10,-2
124,22,-9,-1
125,31,-13,-5
126,24,-14,-3
127,25,-14,-3
128,26,-14,-4
129,27,-14,-4
130,28,-14,-4
131,29,-13,-4
132,30,-13,-4
133,21,-8,-1
134,24,-6,-1
135,25,-6,-1
136,26,-6,-1
137,27,-6,-1
138,28,-6,-1
139,29,-6,-1
140,30,-6,-2
141,31,-6,-2
142,-18,0,-1
143,-17,0,-1
144,-18,12,-1
145,-18,13,-1
146,-19,14,-1
147,-19,15,-1
148,-18,14,-1
149,-18,15,-1
150,-16,0,-1
151,-15,0,-1
152,-14,0,-1
153,-13,0,-1
154,-12,0,-1
155,-11,0,-1
156,-10,0,-1
157,-9,0,-1
158,-8,0,-1
159,-7,0,-1
160,-6,0,-1
161,-5,0,-1
162,-4,0,-1
163,-3,0,-1
164,-2,0,-1
165,-1,0,-1
166,-1,1,-1
167,-1,2,-1
168,-1,3,-1
169,-1,4,-1
170,-1,5,-1
171,-32,16,-1
172,-31,16,-1
173,-30,16,-1
174,-29,16,-1
175,-28,16,-1
176,-27,16,-1
177,-26,16,-1
178,-19,16,-1
179,-19,17,-1
180,-18,16,-2
181,-18,17,-2
182,-18,16,-1
183,-18,17,-1
184,-19,18,-2
185,-19,19,-2
186,-19,19,-1
187,-18,18,-2
188,-18,19,-2
189,-18,18,-1
190,-18,19,-1
191,-17,20,-3
192,-17,21,-3
193,-19,22,-3
194,-19,23,-3
195,-17,22,-3
196,-18,23,-3
197,-17,23,-3
198,-19,20,-2
199,-19,21,-2
200,-19,20,-1
201,-19,21,-1
202,-18,20,-2
203,-18,21,-2
204,-18,20,-1
205,-17,20,-1
206,-18,21,-1
207,-17,21,-1
208,-19,22,-2
209,-19,23,-2
210,-18,22,-2
211,-17,22,-2
212,-18,23,-2
213,-17,23,-2
214,-18,22,-1
215,-17,22,-1
216,-17,23,-1
217,-19,29,-5
218,-17,28,-5
219,-17,29,-5
220,-19,30,-5
221,-19,31,-5
222,-17,30,-5
223,-17,31,-5
224,-21,26,-1
225,-21,27,-1
226,-19,25,-4
227,-19,24,-3
228,-17,24,-4
229,-17,25,-4
230,-18,24,-3
231,-17,25,-3
232,-19,26,-4
233,-19,27,-4
234,-19,26,-3
235,-19,27,-3
236,-17,26,-4
237,-17,27,-4
238,-17,26,-3
239,-18,27,-3
240,-17,27,-3
241,-19,24,-2
242,-19,25,-2
243,-18,24,-2
244,-17,24,-2
245,-18,25,-2
246,-17,25,-2
247,-17,24,-1
248,-18,25,-1
249,-17,25,-1
250,-18,26,-2
251,-18,26,-1
252,-17,26,-1
253,-18,27,-1
254,-17,27,-1
255,-21,28,-1
256,-21,29,-1
257,-21,31,-2
258,-21,30,-1
259,-19,28,-4
260,-19,28,-3
261,-19,29,-3
262,-17,28,-4
263,-17,29,-4
264,-18,28,-3
