,occu_node_coor_list,14:35:28,386
0,-32,-28,-1
1,-13,-32,-3
2,-16,-32,-2
3,-32,-9,-4
4,-32,-4,-2
5,-32,-4,-1
6,-17,-2,-2
7,-18,-1,-1
8,-17,-1,-1
9,-16,-2,-2
10,-1,-7,-1
11,20,-32,-1
12,0,-8,-1
13,0,-7,-1
14,-1,6,-2
15,-2,6,-1
16,-1,6,-1
17,-2,7,-1
18,-1,7,-1
19,-32,17,-1
20,9,0,-1
21,-21,-32,2
22,-21,-32,3
23,-20,-32,2
24,-18,-32,2
25,-18,-32,3
26,-22,-32,4
27,-22,-32,5
28,-21,-32,5
29,-22,-32,6
30,-21,-32,7
31,-20,-32,4
32,-18,-32,4
33,-17,-32,5
34,-19,-32,7
35,-32,-21,2
36,-32,-21,3
37,-32,-20,0
38,-32,-19,1
39,-32,-24,5
40,-32,-22,5
41,-32,-21,5
42,-32,-20,4
43,-32,-19,4
44,-32,-20,5
45,-32,-17,4
46,-32,-17,5
47,-32,-20,6
48,-32,-20,7
49,-32,-19,7
50,-32,-18,6
51,-32,-17,7
52,-21,-32,8
53,-20,-32,8
54,-19,-32,9
55,-18,-32,8
56,-17,-32,8
57,-18,-32,9
58,-20,-32,11
59,-19,-32,11
60,-17,-32,11
61,-21,-32,13
62,-21,-32,15
63,-20,-32,13
64,-18,-32,12
65,-17,-32,13
66,-19,-32,14
67,-20,-32,15
68,-19,-32,15
69,-32,-21,9
70,-32,-17,8
71,-32,-19,10
72,-32,-19,11
73,-32,-18,11
74,-16,-32,1
75,-15,-32,1
76,-13,-32,1
77,-16,-32,2
78,-14,-32,3
79,-15,-32,5
80,-15,-32,7
81,-13,-32,7
82,-12,-32,5
83,-9,-32,5
84,-12,-32,6
85,-11,-32,7
86,-10,-32,6
87,-9,-32,6
88,-8,-28,3
89,-8,-32,5
90,-7,-32,7
91,-1,-32,5
92,-1,-32,6
93,-15,-32,10
94,-16,-32,11
95,-14,-32,10
96,-11,-32,8
97,-12,-32,10
98,-12,-32,11
99,-10,-32,10
100,-13,-32,12
101,-14,-32,13
102,-10,-32,12
103,-1,-32,9
104,-32,-16,5
105,-32,-15,7
106,-32,-9,5
107,-32,-11,6
108,-32,-5,1
109,-32,-4,0
110,-32,-4,2
111,-32,-1,2
112,-32,-1,3
113,-32,-7,7
114,-32,-6,6
115,-32,-5,6
116,-32,-6,7
117,-32,-4,4
118,-32,-4,5
119,-32,-3,5
120,-32,-2,4
121,-32,-1,4
122,-32,-4,6
123,-32,-2,6
124,-32,-1,7
125,-32,-16,10
126,-32,-6,8
127,-32,-7,11
128,-32,-3,8
129,-32,-4,9
130,-32,-3,9
131,-32,-2,10
132,-32,-1,11
133,-32,-5,14
134,-32,-4,13
135,-32,-2,12
136,-32,-1,13
137,-32,-4,15
138,-32,-2,14
139,-3,-14,6
140,-2,-12,4
141,-2,-12,5
142,-2,-11,7
143,-1,-9,6
144,-1,-10,7
145,-1,-8,7
146,-3,-16,8
147,-3,-15,8
148,-7,-12,10
149,-6,-11,11
150,-6,-9,11
151,-3,-12,8
152,-2,-12,8
153,-6,-7,9
154,-20,-32,17
155,3,-32,7
156,4,-32,5
157,6,-32,4
158,5,-32,6
159,7,-32,6
160,9,-32,2
161,14,-32,3
162,9,-32,5
163,10,-32,5
164,11,-32,5
165,8,-32,6
166,9,-32,6
167,12,-32,4
168,15,-32,7
169,1,-32,9
170,4,-32,8
171,4,-32,11
172,6,-32,13
173,7,-32,13
174,9,-32,9
175,10,-32,8
176,11,-32,8
177,10,-32,9
178,8,-32,10
179,10,-32,10
180,11,-32,11
181,14,-32,9
182,14,-32,10
183,14,-32,11
184,15,-32,11
185,9,-32,12
186,13,-32,13
187,14,-32,13
188,15,-32,13
189,13,-32,15
190,14,-32,15
191,16,-32,0
192,17,-32,0
193,16,-32,1
194,19,-32,1
195,16,-32,3
196,18,-32,2
197,22,-32,1
198,21,-32,2
199,23,-32,3
200,17,-32,4
201,17,-32,5
202,19,-32,4
203,19,-32,5
204,18,-32,6
205,19,-32,6
206,21,-32,4
207,20,-32,5
208,22,-32,5
209,20,-32,6
210,22,-32,6
211,23,-32,6
212,24,-32,2
213,24,-32,7
214,16,-32,8
215,17,-32,8
216,18,-32,8
217,19,-32,8
218,19,-32,9
219,16,-32,10
220,17,-32,11
221,18,-32,11
222,21,-32,9
223,20,-32,10
224,20,-32,11
225,22,-32,11
226,17,-32,13
227,19,-32,12
228,17,-32,15
229,19,-32,14
230,19,-32,15
231,20,-32,13
232,21,-32,15
233,24,-32,8
234,25,-32,9
235,25,-32,11
236,27,-32,14
237,1,-15,5
238,1,-15,6
239,1,-13,6
240,0,-14,7
241,1,-14,7
242,0,-8,0
243,0,-8,1
244,0,-8,2
245,1,-8,2
246,0,-8,3
247,0,-8,4
248,0,-7,4
249,0,-8,5
250,1,-5,5
251,0,-8,6
252,0,-8,7
253,1,-8,7
254,2,-6,6
255,1,-14,8
256,2,-13,9
257,1,-11,8
258,1,-12,9
259,1,-10,8
260,1,-10,9
261,1,-8,8
262,12,-32,18
263,18,-32,18
264,20,-32,17
265,23,-32,16
266,20,-32,22
267,-32,2,2
268,-32,1,4
269,-32,0,6
270,-32,1,7
271,-32,3,6
272,-32,6,6
273,-32,8,3
274,-32,15,3
275,-32,11,4
276,-32,9,6
277,-32,11,6
278,-32,12,4
279,-32,13,4
280,-32,13,5
281,-32,14,6
282,-32,0,9
283,-32,1,9
284,-32,3,9
285,-32,2,10
286,-32,0,14
287,-32,8,9
288,-32,10,8
289,-32,13,10
290,-32,13,11
291,-32,8,12
292,-32,9,13
293,-32,14,13
294,-32,15,14
295,-24,15,12
296,-1,6,0
297,-1,6,1
298,-1,6,3
299,-1,6,5
300,-1,7,5
301,-3,4,6
302,-4,7,7
303,-1,6,6
304,-1,6,7
305,-5,11,6
306,-3,10,5
307,-4,10,7
308,-5,7,9
309,-4,5,8
310,-1,6,8
311,-6,9,8
312,-5,10,8
313,-1,9,9
314,-1,8,10
315,-3,11,10
316,-6,14,11
317,-1,13,8
318,-2,12,9
319,-4,15,12
320,-32,17,1
321,-32,17,2
322,-32,16,4
323,-32,18,4
324,-32,19,5
325,-32,17,6
326,-32,16,7
327,-32,17,7
328,-32,18,6
329,-32,19,6
330,-32,19,7
331,-32,20,4
332,-32,21,5
333,-32,22,5
334,-32,21,6
335,-32,16,8
336,-32,16,9
337,-32,17,9
338,-32,19,8
339,-32,18,9
340,-32,17,10
341,-32,17,11
342,-32,20,8
343,-32,21,9
344,-32,21,10
345,-32,16,12
346,-32,17,12
347,-32,16,13
348,-32,17,13
349,-32,18,12
350,-32,18,13
351,-32,18,14
352,-32,20,12
353,-32,21,12
354,-32,15,16
355,-32,15,17
356,-32,19,16
357,0,6,2
358,2,5,7
359,0,6,7
360,1,6,7
361,3,6,7
362,0,9,7
363,3,8,6
364,2,9,7
365,3,9,7
366,0,10,7
367,3,11,6
368,4,10,6
369,2,13,6
370,3,13,6
371,0,6,8
372,1,6,8
373,3,7,9
374,2,7,10
375,4,7,8
376,0,9,9
377,1,9,9
378,3,8,9
379,3,9,9
380,0,11,9
381,3,10,8
382,3,10,10
383,4,8,11
384,2,12,8
385,2,13,8
