,occu_node_coor_list,14:34:58,295
0,-13,-32,-3
1,-16,-32,-2
2,-32,-9,-4
3,-32,-4,-2
4,-32,-4,-1
5,-17,-2,-2
6,-18,-1,-1
7,-17,-1,-1
8,-16,-2,-2
9,-1,-7,-1
10,20,-32,-1
11,0,-8,-1
12,0,-7,-1
13,-1,6,-2
14,-2,6,-1
15,-1,6,-1
16,-2,7,-1
17,-1,7,-1
18,-32,17,-1
19,9,0,-1
20,-21,-32,2
21,-21,-32,3
22,-20,-32,2
23,-18,-32,2
24,-18,-32,3
25,-22,-32,4
26,-22,-32,5
27,-21,-32,5
28,-22,-32,6
29,-21,-32,7
30,-20,-32,4
31,-18,-32,4
32,-17,-32,5
33,-19,-32,7
34,-32,-21,2
35,-32,-21,3
36,-32,-20,0
37,-32,-22,5
38,-32,-21,5
39,-32,-20,5
40,-32,-17,4
41,-32,-20,7
42,-32,-18,6
43,-32,-17,7
44,-21,-32,8
45,-20,-32,8
46,-19,-32,9
47,-18,-32,8
48,-17,-32,8
49,-18,-32,9
50,-20,-32,11
51,-19,-32,11
52,-17,-32,11
53,-21,-32,13
54,-21,-32,15
55,-20,-32,13
56,-18,-32,12
57,-17,-32,13
58,-19,-32,14
59,-20,-32,15
60,-19,-32,15
61,-32,-21,9
62,-32,-19,8
63,-32,-18,9
64,-32,-19,10
65,-32,-19,11
66,-16,-32,1
67,-15,-32,1
68,-13,-32,1
69,-16,-32,2
70,-14,-32,3
71,-15,-32,5
72,-15,-32,7
73,-9,-32,5
74,-11,-32,7
75,-10,-32,6
76,-9,-32,6
77,-8,-28,3
78,-8,-32,5
79,-7,-32,7
80,-1,-32,5
81,-1,-32,6
82,-14,-32,9
83,-13,-32,9
84,-15,-32,10
85,-16,-32,11
86,-14,-32,10
87,-11,-32,8
88,-9,-32,10
89,-13,-32,12
90,-14,-32,13
91,-10,-32,12
92,-1,-32,9
93,-32,-16,5
94,-32,-15,7
95,-32,-9,5
96,-32,-11,6
97,-32,-5,1
98,-32,-4,0
99,-32,-4,2
100,-32,-1,2
101,-32,-1,3
102,-32,-7,7
103,-32,-6,6
104,-32,-5,6
105,-32,-6,7
106,-32,-4,4
107,-32,-4,5
108,-32,-3,5
109,-32,-2,4
110,-32,-1,4
111,-32,-4,6
112,-32,-1,7
113,-32,-16,10
