,occu_node_coor_list,14:34:27,197
0,-32,-9,-4
1,-32,-4,-2
2,-32,-4,-1
3,-17,-2,-2
4,-18,-1,-1
5,-17,-1,-1
6,-16,-2,-2
7,-1,-7,-1
8,20,-32,-1
9,0,-8,-1
10,0,-7,-1
11,-1,6,-2
12,-2,6,-1
13,-1,6,-1
14,-2,7,-1
15,-1,7,-1
16,-32,17,-1
17,9,0,-1
18,-14,-32,5
19,-14,-32,7
20,-9,-32,5
21,-8,-28,3
22,-8,-32,5
23,-14,-32,9
24,-15,-32,10
25,-9,-32,10
26,-10,-32,12
27,-32,-5,1
28,-32,-4,0
29,-32,-4,2
30,-32,-1,2
31,-32,-1,3
32,-32,-7,7
33,-32,-5,6
34,-32,-6,7
35,-32,-4,4
36,-32,-4,5
37,-32,-2,4
38,-32,-1,4
39,-32,-2,5
40,-32,-4,6
41,-32,-3,6
42,-32,-4,7
43,-32,-1,6
44,-32,-1,7
45,-32,-4,8
46,-32,-3,8
47,-32,-4,9
48,-32,-3,9
49,-32,-2,9
50,-32,-2,10
51,-32,-1,11
52,-32,-2,12
53,-32,-1,13
54,-32,-2,14
55,-1,-8,7
56,-1,-8,8
57,6,-32,4
58,7,-32,6
59,9,-32,2
60,14,-32,3
61,9,-32,5
62,11,-32,5
63,8,-32,6
64,9,-32,6
65,8,-32,7
66,12,-32,6
67,12,-32,7
68,13,-32,7
69,14,-32,6
70,4,-32,8
71,9,-32,8
72,11,-32,8
73,10,-32,9
74,8,-32,10
75,10,-32,10
76,11,-32,11
77,14,-32,9
78,14,-32,11
79,9,-32,12
80,17,-32,0
81,16,-32,1
82,19,-32,1
83,16,-32,3
84,21,-32,1
85,22,-32,1
86,21,-32,2
87,20,-32,3
88,23,-32,3
89,19,-32,4
90,18,-32,6
91,19,-32,6
92,19,-32,7
93,22,-32,4
94,22,-32,5
95,20,-32,6
96,22,-32,6
97,23,-32,6
98,24,-32,2
99,24,-32,7
100,17,-32,9
101,17,-32,11
102,18,-32,10
103,19,-32,11
104,20,-32,9
105,21,-32,9
106,20,-32,10
107,22,-32,11
108,16,-32,12
109,17,-32,14
110,19,-32,14
111,21,-32,15
112,24,-32,8
113,25,-32,9
114,25,-32,11
115,27,-32,14
116,0,-8,0
117,0,-8,1
118,0,-8,2
119,1,-8,2
120,0,-8,3
121,0,-8,4
122,0,-7,4
123,0,-8,5
124,0,-8,6
125,0,-8,7
126,1,-8,7
127,0,-8,8
128,1,-8,8
129,2,-8,8
130,18,-32,18
131,23,-32,16
132,-32,2,2
133,-32,0,6
134,-32,1,7
135,-32,15,3
136,-32,11,4
137,-32,13,4
138,-32,13,5
139,-32,15,6
140,-32,14,7
141,-32,0,8
142,-32,0,9
143,-32,1,9
144,-32,3,9
145,-32,2,10
146,-32,14,8
147,-32,15,8
148,-32,13,10
149,-32,13,11
150,-32,14,13
151,-1,6,0
152,-1,6,1
153,-1,6,3
154,-1,6,5
155,-1,7,5
156,-1,5,6
157,-1,6,6
158,-1,6,7
159,-5,9,7
160,-4,10,7
161,-1,6,8
162,-1,15,9
163,-4,15,12
164,-32,16,4
165,-32,19,4
166,-32,18,5
167,-32,17,6
168,-32,19,6
169,-32,19,7
170,-32,20,4
171,-32,21,5
172,-32,22,5
173,-32,21,6
174,-32,20,7
175,-32,16,8
176,-32,19,9
177,-32,20,10
178,-32,21,12
179,-32,15,16
180,-32,15,17
181,0,6,2
182,0,6,7
183,1,6,7
184,0,9,7
185,3,8,6
186,2,9,7
187,3,9,7
188,0,10,7
189,3,11,6
190,4,10,6
191,2,13,6
192,3,13,6
193,0,6,8
194,1,6,8
195,4,7,8
196,2,12,8
