,occu_node_coor_list,14:34:17,155
0,-32,-9,-4
1,-32,-4,-2
2,-32,-4,-1
3,-17,-2,-2
4,-18,-1,-1
5,-17,-1,-1
6,-16,-2,-2
7,-1,-7,-1
8,20,-32,-1
9,0,-8,-1
10,0,-7,-1
11,-1,6,-2
12,-2,6,-1
13,-1,6,-1
14,-2,7,-1
15,-1,7,-1
16,9,0,-1
17,-32,-5,1
18,-32,-4,0
19,-32,-4,2
20,-32,-1,2
21,-32,-1,3
22,-32,-7,7
23,-32,-5,6
24,-32,-6,7
25,-32,-4,4
26,-32,-4,5
27,-32,-2,4
28,-32,-1,4
29,-32,-2,5
30,-32,-4,6
31,-32,-3,6
32,-32,-4,7
33,-32,-1,6
34,-32,-1,7
35,-32,-4,8
36,-32,-3,8
37,-32,-4,9
38,-32,-3,9
39,-32,-2,9
40,-32,-2,10
41,-32,-1,11
42,-32,-2,12
43,-32,-1,13
44,-32,-2,14
45,-1,-8,7
46,-1,-8,8
47,8,-32,6
48,9,-32,6
49,8,-32,7
50,12,-32,6
51,13,-32,7
52,9,-32,8
53,10,-32,8
54,14,-32,11
55,9,-32,12
56,17,-32,1
57,19,-32,1
58,16,-32,3
59,21,-32,1
60,22,-32,1
61,21,-32,2
62,20,-32,3
63,23,-32,3
64,18,-32,6
65,19,-32,6
66,19,-32,7
67,22,-32,4
68,22,-32,5
69,20,-32,6
70,22,-32,6
71,23,-32,6
72,24,-32,2
73,24,-32,7
74,17,-32,11
75,18,-32,10
76,19,-32,11
77,20,-32,9
78,21,-32,9
79,20,-32,10
80,22,-32,11
81,17,-32,14
82,19,-32,14
83,20,-32,12
84,21,-32,15
85,24,-32,8
86,25,-32,9
87,25,-32,11
88,27,-32,14
89,0,-8,0
90,0,-8,1
91,0,-8,2
92,1,-8,2
93,0,-8,3
94,0,-8,4
95,0,-7,4
96,0,-8,5
97,0,-8,6
98,0,-8,7
99,1,-8,7
100,4,-13,8
101,0,-8,8
102,1,-8,8
103,2,-8,8
104,18,-32,18
105,23,-32,16
106,-32,2,2
107,-32,0,6
108,-32,1,7
109,-32,15,3
110,-32,11,4
111,-32,13,4
112,-32,13,5
113,-32,15,6
114,-32,14,7
115,-32,0,8
116,-32,0,9
117,-32,1,9
118,-32,3,9
119,-32,2,10
120,-32,14,8
121,-32,15,8
122,-32,13,10
123,-32,13,11
124,-32,14,13
125,-1,6,0
126,-1,6,1
127,-1,6,3
128,-1,6,5
129,-1,7,5
130,-1,5,6
131,-1,6,6
132,-1,6,7
133,-1,6,8
134,-1,15,9
135,-4,15,12
136,-32,16,4
137,-32,16,7
138,-32,16,8
139,-32,15,16
140,-32,15,17
141,0,6,2
142,0,6,7
143,1,6,7
144,3,6,7
145,3,8,6
146,3,11,6
147,4,10,6
148,2,13,6
149,3,13,6
150,3,12,7
151,0,6,8
152,1,6,8
153,4,7,8
154,2,12,8
